Outcome	Year	Championship	Surface	Opponent in the final	Score in the final
Winner	1997	Australian Open	Hard	Mary Pierce	6–2, 6–2
Runner-up	1997	French Open	Clay	Iva Majoli	6–4, 6–2
Winner	1997	Wimbledon	Grass	Jana Novotná	2–6, 6–3, 6–3
Winner	1997	US Open	Hard	Venus Williams	6–0, 6–4
Winner	1998	Australian Open (2)	Hard	Conchita Martínez	6–3, 6–3
Runner-up	1998	US Open	Hard	Lindsay Davenport	6–3, 7–5
Winner	1999	Australian Open (3)	Hard	Amélie Mauresmo	6–2, 6–3
Runner-up	1999	French Open (2)	Clay	Steffi Graf	4–6, 7–5, 6–2
Runner-up	1999	US Open (2)	Hard	Serena Williams	6–3, 7–6(4)
Runner-up	2000	Australian Open	Hard	Lindsay Davenport	6–1, 7–5
Runner-up	2001	Australian Open (2)	Hard	Jennifer Capriati	6–4, 6–3
