Game	February	Opponent	Score	Record	Points
50	1	Montreal Canadiens	3–2 OT	25–14–11	61
51	3	@ St. Louis Blues	7–3	26–14–11	63
52	8	Buffalo Sabres	1–2	26–15–11	63
53	10	@ Boston Bruins	6–2	27–15–11	65
54	11	Colorado Avalanche	3–5	27–16–11	65
55	14	@ Florida Panthers	4–2	28–16–11	67
56	17	@ Tampa Bay Lightning	2–5	28–17–11	67
57	19	New Jersey Devils	4–1	29–17–11	69
58	22	Washington Capitals	5–3	30–17–11	71
59	23	@ Buffalo Sabres	2–7	30–18–11	71
60	25	Chicago Blackhawks	3–2	31–18–11	73
61	28	@ Dallas Stars	4–4 OT	31–18–12	74
