Team	Hosted	Average	Highest	Lowest	Total	Last Year	Up/Down
Essendon	11	48353	67172	34567	531879	57309	– 8956
Collingwood	11	45012	88390	29072	495134	39126	+ 5886
Richmond	11	44012	73465	23578	484132	40533	+ 3479
Adelaide	11	38470	42659	30350	423171	39393	– 923
Melbourne	11	37559	75033	16120	413153	31955	+ 5604
Hawthorn	11	34417	53776	16004	378592	34864	– 446
Carlton	11	34414	91571	16415	378551	35037	– 623
West Coast Eagles	11	33136	40519	22232	364500	30868	+ 2268
Western Bulldogs	11	30572	45527	18134	336293	24023	+ 6549
Geelong	11	27729	47071	17399	305014	24840	+ 2889
Brisbane Lions	11	27406	34743	21956	301470	21890	+ 5516
Port Adelaide	11	26377	41101	19511	290149	31269	– 4892
Sydney	11	25563	34687	19789	281190	30539	– 4976
St Kilda	11	24422	38151	17509	268638	33182	– 8760
Fremantle	11	22357	37710	10826	245928	23972	– 1615
Kangaroos	11	22092	36514	7334	243017	25890	– 3798
