Date of Issue	Theme	Design	Illustration	Paper Type	First Day Cover Cancellation
5 January 2008	Year of the Rat	Tandem Design Associates	Harvey Chan	Tullis Russell Coatings	Vancouver, BC
15 January 2008	Celebration	Michael Zavacky, McMillan	Michael Zavacky, McMillan	Lowe-Martin	Zeballos, BC
3 March 2008	Peonies (The Elgin)	Isabelle Toussaint	Isabelle Toussaint	Tullis-Russell	Oakville, ON
3 March 2008	Peonies (Coral ‘n Gold)	Isabelle Toussaint	Isabelle Toussaint	Tullis-Russell	Oakville, ON
7 March 2008	University of Alberta	Metaform Communication Design	Creative Services, University of Alberta	Tullis-Russell	Edmonton, Alberta
7 March 2008	University of British Columbia	Metaform Communication Design	Martin Dee, UBC Public Affairs	Tullis-Russell	Vancouver, British Columbia
3 April 2008	IIHF World Championships, Quebec City	Lionel Gadoury, Dave Hurds	Ho Che Anderson	Tullis Russell Coatings	Québec City , QC
3 April 2008	IIHF World Championships, Halifax	Lionel Gadoury, Dave Hurds	Ho Che Anderson	Tullis Russell Coatings	Halifax , NS
21 April 2008	Guide Dogs	Designwerke Inc., Andrew Perro	J. Christopher Lawson	Tullis Russell Coatings	Ottawa, Ontario
2 May 2008	Oil and Gas: Calgary, Alberta	Tim Nokes	Neil Petrunia	Tullis Russell Coatings	Calgary, Alberta
2 May 2008	Oil and Gas: Oil Springs	Tim Nokes	Neil Petrunia	Tullis Russell Coatings	Oil Springs, Ontario
16 May 2008	Founding of Quebec City	Fugazi	Francis Back, Jorge Peral	Tullis Russell Coatings	Québec City, QC
21 May 2008	Yousuf Karsh	Hélène L’Heureux	Photos from the Karsh Estate	Tullis Russell Coatings	Ottawa, Ontario
21 May 2008	Audrey Hepburn	Hélène L’Heureux	Photos from the Karsh Estate	Tullis Russell Coatings	Ottawa, Ontario
21 May 2008	Winston Churchill	Hélène L’Heureux	Photos from the Karsh Estate	Tullis Russell Coatings	Ottawa, Ontario
4 June 2008	Royal Canadian Mint , 100th Anniversary	Stéphane Huot	Normand Robert	Tullis Russell Coatings	Ottawa, Ontario
4 June 2008	Canadian Nurses Association	Gottschalk and Ash International	Laura Arsie Photography	Tullis Russell Coatings	Ottawa, Ontario
20 June 2008	Anne of Green Gables (Anne stamp)	Dennis Page, Oliver Hill	Christopher Kovacs/Ben Stahl	Tullis Russell Coatings	Cavendish, Prince Edward Island
20 June 2008	Anne of Green Gables (Gables stamp)	Dennis Page, Oliver Hill	Christopher Kovacs/Ben Stahl	Tullis Russell Coatings	Avonlea, Prince Edward Island
30 June 2008	Canadians in Hollywood: Raymond Burr	Josh Belisle, Kosta Tsetsekas, Geoff Kehrig	Neal Armstrong, Adam Rogers	Spicers	Montreal, QC and Vancouver, BC
30 June 2008	Canadians in Hollywood: Marie Dressler	Josh Belisle, Kosta Tsetsekas, Geoff Kehrig	Neal Armstrong, Adam Rogers	Spicers	Montreal, QC and Vancouver, BC
30 June 2008	Canadians in Hollywood: Chief Dan George	Josh Belisle, Kosta Tsetsekas, Geoff Kehrig	Neal Armstrong, Adam Rogers	Spicers	Montreal, QC and Vancouver, BC
30 June 2008	Canadians in Hollywood: Norma Shearer	Josh Belisle, Kosta Tsetsekas, Geoff Kehrig	Neal Armstrong, Adam Rogers	Spicers	Montreal, QC and Vancouver, BC
18 July 2008	Games of the XXIX Olympiad	q30design inc.	Laurie Lafrance	Tullis Russell	Golden, BC
25 July 2008	Lifesaving Society: 1908-2008	Derwin Goodall	Lorne Bridgman, Getty Images	Tullis Russell	Toronto, ON
1 August 2008	150th Anniversary, British Columbia	Subplot Design Inc.	Clinton Hussey and Adam Rogers	Tullis Russell	Fort Langley, BC
8 September 2008	Sam McLaughlin , Founder of General Motors Canada	Tilt Telmet, Marko Barac	Bill McKague, Thomas Bouckley Collection	Tullis Russell	Oshawa, ON
1 October 2008	Endangered Species, Taylor’s checkerspot	Sputnik Design Partners	Doug Martin	Tullis Russell Coatings	Moose Jaw, SK
1 October 2008	Endangered Species, Roseate Tern	Sputnik Design Partners	Doug Martin	Tullis Russell Coatings	Moose Jaw, SK
1 October 2008	Endangered Species, Peculiar Burrowing Owl	Sputnik Design Partners	Doug Martin	Tullis Russell Coatings	Moose Jaw, SK
1 October 2008	Endangered Species, Prothonotary Warbler	Sputnik Design Partners	Doug Martin	Tullis Russell Coatings	Moose Jaw, SK
6 October 2008	Mental Health	Paul Haslip	Photo by Nigel Dickson	Tullis Russell Coatings	Ottawa, ON
15 October 2008	XII Summit de la Francophonie	Ian Drolet	Photo by Marc-André Grenier	Tullis Russell Coatings	Québec, QC
3 November 2008	Christmas: The Nativity	Joseph Gault	Antonio Caruso (sculptor)	Tullis Russell Coatings	Sainte Anne de Beaupre , QC
3 November 2008	Christmas: Winter Fun (Domestic)	Susan Scott	Susan Scott	Tullis Russell Coatings	Snowflake, Manitoba
3 November 2008	Christmas: Winter Fun (USA)	Susan Scott	Susan Scott	Tullis Russell Coatings	Snowflake, Manitoba
3 November 2008	Christmas: Winter Fun (International)	Susan Scott	Susan Scott	Tullis Russell Coatings	Snowflake, Manitoba
