Year	Title	Publisher	Release Date	Copyright Information	ISBN
1984	Callanetics: 10 Years Younger In 10 Hours	William Morrow	September 14, 1984	Callan Productions Corp.	000000
1987	Callanetics: 10 Years Younger In 10 Hours	Warner Audio Books - Cassette	May 12, 1987	Callan Productions Corp.	000000
1988	Callanetics For Your Back	William Morrow	September 2, 1988	Callan Productions Corp.	000000
1989	Callanetics For Your Back	Simon & Schuster Audio Book - Cassette	March 3, 1989	Callan Productions Corp.	000000
1990	Callanetics Countdown	Century	March 15, 1990	Callan Productions Corp.	000000
1991	Super Callanetics	Ebury	March 21, 1991	Callan Productions Corp.	000000
1992	Quick Callanetics: Stomach	Vermilion	February 4, 1992	Callan Productions Corp.	000000
1993	Quick Callanetics: Stomach	Random House Audio Books - Cassette	February 26, 1993	Callan Productions Corp.	000000
1992	Quick Callanetics: Legs	Vermilion	February 4, 1992	Callan Productions Corp.	000000
1993	Quick Callanetics: Legs	Random House Audio Books - Cassette	February 26, 1993	Callan Productions Corp.	000000
1992	Quick Callanetics: Hips and Behind	Vermilion	February 4, 1992	Callan Productions Corp.	000000
1993	Quick Callanetics: Hips and Behind	Random House Audio Books - Cassette	February 26, 1993	Callan Productions Corp.	000000
1993	AM/PM Callanetics	Random House	February 18, 1993	Callan Productions Corp.	000000
1993	Complete Callanetics	Ebury Press	April 1, 1993	Callan Productions Corp.	000000
1995	Callanetics: Fit Forever	G.P. Putnam and Sons	January 3, 1996	Callan Productions Corp.	000000
2013	Callanetics: 10 Years Younger In 10 Hours	Random House UK (Re-issue)	August 26, 2013	Callan Productions Corp.	9780099590620
2013	AM/PM Callanetics	Random House UK (Re-issue)	September 30, 2013	Callan Productions Corp.	9780099590590
2013	Quick Callanetics - Legs	Random House UK (Re-issue)	November 29, 2013	Callan Productions Corp.	9780091954840
2013	Quick Callanetics - Hips & Behind	Random House UK (Re-issue)	November 29, 2013	Callan Productions Corp.	9780091954833
2013	Quick Callanetics - Stomach	Random House UK (Re-issue)	November 29, 2013	Callan Productions Corp.	9780091954826
2013	Callanetics: Fit Forever	Random House UK (Re-issue)	November 29, 2013	Callan Productions Corp.	9780091954819
2013	Callanetics Countdown	Random House UK (Re-issue)	November 29, 2013	Callan Productions Corp.	9780099590637
