Locomotive	Type	Builder	Builder's No.	Built	Entered service	Withdrawn
1	4-4-0T	Manning Wardle	39	1862	1895	1911
1 (2nd)	0-8-2T	Avonside Engine Company	1596	1911	1911	1937
2	0-4-0ST	Avonside Engine Company	1415	1900	1901	1934
3	0-6-0ST	Avonside Engine Company	1436	1902	1902	1928
4	0-6-0	Kitson and Company	2118	1877	1902	1922
5	0-6-0	Kitson and Company	2299	1879	1903	1918
6	0-8-0ST	Avonside Engine Company	1464	1903	1904	1930
7	0-6-0	Kitson and Company	2029	1879	1904	1922
8	0-6-0ST	Avonside Engine Company	1487	1904	1905	1928
9	0-8-0ST	Avonside Engine Company	1481	1904	1905	1935
10	0-6-0	Vale & Lacy, Sydney	10	1873	1906	1911
10 (2nd)	2-8-2T	Beyer Peacock & Co	5520	1911	1912	Jan 1987
11	4-4-2T	Beyer Peacock & Co	1629	1877	1907	1935
12	4-4-2T	Beyer Peacock & Co	1628	1877	1907	1935
13	0-8-2T	Avonside Engine Company	1541	1908	1908	1930
14	0-8-2T	Avonside Engine Company	1559	1909	1909	1930
15	4-6-4T	Beyer Peacock & Co	5603	1912	1912	1965
16	4-6-4T	Beyer Peacock & Co	5638	1912	1912	1946
17	2-8-2T	Beyer Peacock & Co	5790	1914	1914	Dec 1983
18	2-8-2T	Beyer Peacock & Co	5909	1915	1915	Dec 1984
19	2-8-2T	Beyer Peacock & Co	5910	1915	1915	Nov 1981
20	2-8-2T	Beyer Peacock & Co	5998	1920	1920	Feb 1985
21	4-4-2T	Beyer Peacock & Co	3335	1891	1919	1935
22	2-8-2T	Beyer Peacock & Co	6055	1921	1921	Sept 1987
23	2-8-2T	Beyer Peacock & Co	6056	1921	1921	Jul 1980
24	2-8-2T	Beyer Peacock & Co	6125	1922	1922	Sept 1987
25	2-8-2T	Beyer Peacock & Co	6126	1923	1923	Sept 1987
26	2-8-2T	Beyer Peacock & Co	6127	1923	1923	Jul 1983
27	2-8-2T	Beyer Peacock & Co	6137	1923	1923	Mar 1987
28	2-8-2T	Beyer Peacock & Co	6138	1923	1923	Dec 1983
29	4-6-4T	Beyer Peacock & Co	6139	1923	1923	1965
30	2-8-2T	Beyer Peacock & Co	6294	1926	1926	Sept 1987
31	2-8-2T	Beyer Peacock & Co	5295	1926	1926	Jun 1984
