Start Date/Time	Duration	End Time	Spacecraft	Crew
20 February 20:09	4 hours 12 minutes	21 February 00:21	Mir EO-10 Kvant-2	Aleksandr Volkov Sergei Krikalyov
10 May 20:40	3 hours 43 minutes	11 May 00:23	STS-49 Endeavour	Pierre J. Thuot Richard Hieb
11 May 21:05	5 hours 30 minutes	12 May 02:35	STS-49 Endeavour	Pierre J. Thuot Richard Hieb
13 May 21:17	8 hours 29 minutes	14 May 05:46	STS-49 Endeavour	Pierre J. Thuot Richard Hieb Thomas Akers
14 May ~21:00	7 hours 44 minutes	15 May ~04:45	STS-49 Endeavour	Thomas Akers Kathryn C. Thornton
8 July 12:38	2 hours 3 minutes	14:41	Mir EO-11 Kvant-2	Aleksandr Viktorenko Aleksandr Kaleri
3 September 13:32	3 hours 56 minutes	17:28	Mir EO-12 Kvant-2	Sergei Avdeyev Anatoly Solovyev
7 September 11:47	5 hours 8 minutes	16:55	Mir EO-12 Kvant-2	Sergei Avdeyev Anatoly Solovyev
11 September 10:06	5 hours 44 minutes	15:50	Mir EO-12 Kvant-2	Sergei Avdeyev Anatoly Solovyev
15 September 07:49	3 hours 33 minutes	11:22	Mir EO-12 Kvant-2	Sergei Avdeyev Anatoly Solovyev
