Week	Date	Opponent	Result	Attendance
1	September 3, 1983 (Sat)	Philadelphia Eagles	L 17-22	55,775
2	September 8, 1983 (Thu)	at Minnesota Vikings	W 48-17	58,167
3	September 18, 1983	at St. Louis Cardinals	W 42-27	38,132
4	September 25, 1983	Atlanta Falcons	W 24-20	57,814
5	October 2, 1983	at New England Patriots	W 33-13	54,293
6	October 9, 1983	Los Angeles Rams	L 7-10	59,118
7	October 16, 1983	at New Orleans Saints	W 32-13	68,154
8	October 23, 1983	at Los Angeles Rams	W 45-35	66,070
9	October 30, 1983	New York Jets	L 13-27	54,796
10	November 6, 1983	Miami Dolphins	L 17-20	57,832
11	November 13, 1983	New Orleans Saints	W 27-0	40,022
12	November 20, 1983	at Atlanta Falcons	L 24-28	39,782
13	November 27, 1983	at Chicago Bears	L 3-13	40,483
14	December 4, 1983	Tampa Bay Buccaneers	W 35-21	49,773
15	December 11, 1983	at Buffalo Bills	W 23-10	38,039
16	December 19, 1983 (Mon)	Dallas Cowboys	W 42-17	59,957
