Pick #	Player	Position	Nationality	NHL team	College/junior/club team
81	Keith Smith	Defence	Canada	New York Islanders	Brown University (ECAC)
82	Willie Trognitz	Left Wing	Canada	California Golden Seals	Thunder Bay Vulcans (TBJHL)
83	Jim Cowell	Centre	Canada	Vancouver Canucks	Ottawa 67's (OHA)
84	Doug Marit	Defence	Canada	Toronto Maple Leafs	Regina Pats (WCHL)
85	Ken Houston	Defence	Canada	Atlanta Flames	Chatham Maroons SOJHL
86	Blair MacDonald	Right Wing	Canada	Los Angeles Kings	Cornwall Royals (QMJHL)
87	Don Seiling	Left Wing	Canada	Pittsburgh Penguins	Oshawa Generals (OHA)
88	Randy Smith	Left Wing	Canada	St. Louis Blues	Edmonton Oil Kings (WCHL)
89	David Lee	Left Wing	United Kingdom Canada	Minnesota North Stars	Ottawa 67's (OHA)
90	Doug Ferguson	Defence	Canada	Philadelphia Flyers	Hamilton Red Wings (OHA)
91	Glenn Cickello	Defence	Canada	Detroit Red Wings	Hamilton Red Wings (OHA)
92	Neil Korzack	Left Wing	Canada	Buffalo Sabres	Peterborough Petes (OHA)
93	Garry Doerksen	Centre	Canada	Chicago Black Hawks	Winnipeg Jets (WCHL)
94	Dwayne Pentland	Defence	Canada	New York Rangers	Brandon Wheat Kings (WCHL)
95	J.P. Burgoyne	Defence	Canada	Boston Bruins	Shawinigan Dynamos (QMJHL)
96	Denis Patry	Right Wing	Canada	Montreal Canadiens	Drummondville Rangers (QMJHL)
