Rank	Group	Athlete	Nationality	Result
1	A	Vita Pavlysh	Ukraine	19.99
2	B	Irina Korzhanenko	Russia	19.18
3	A	Svetlana Krivelyova	Russia	18.55
4	A	Nadine Kleinert	Germany	18.38
5	B	Corrie de Bruin	Netherlands	18.36
6	B	Stephanie Storp	Germany	18.08
7	A	Lieja Koeman	Netherlands	18.01
7	B	Katarzyna Żakowicz	Poland	18.01
7	B	Tatyana Khorkhulyova	Belarus	18.01
10	A	Yanina Karolchyk	Belarus	18.00
11	A	Krystyna Zabawska	Poland	17.80
12	B	Karoliina Lundahl	Finland	17.68
13	A	Danijela Curović	Yugoslavia	17.50
14	A	Mara Rosolen	Italy	17.08
15	B	Katarina Sederholm	Norway	16.83
16	B	Linda-Marie Mårtensson	Sweden	16.79
17	B	Nataša Erjavec	Slovenia	16.43
18	A	Margarita Ramos	Spain	16.41
