Pos.	Class	Entrant	Drivers	Laps
1	A	GIO Racing	Mark Gibbs Rohan Onslow	161
2	B	Benson & Hedges Racing	Alan Jones Peter Fitzgerald	155
3	A	Playscape Racing Australia	Kevin Waldock Brett Peters	152
4	A	Gemspares	Daryl Hendrick John White	144
5	C	Toyota Team Australia	Ron Searle Don Griffiths	141
6	C	Speedtech Motorsport	Geoff Full Paul Morris	122
DNF	A	Peter Jackson Racing	Glenn Seton Gregg Hansford	146
DNF	A	Mobil 1 Racing Team	Peter Brock Andrew Miedecke Tomas Mezera	133
DNF	A	Bob Jones	Bob Jones Ed Lamont	122
DNF	A	Holden Racing Team	Neil Crompton Brad Jones	103
DNF	A	Mobil 1 Racing Team	Larry Perkins Peter Brock	103
DNF	C	Bob Holden Motors	Bob Holden Dennis Rogers	103
DNF	A	Holden Racing Team	Win Percy Allan Grice	101
NC	C	Bob Holden Motors	Mike Conway Calvin Gardiner	97
DNF	A	Peter Hudson	Peter Hudson Ian Carrig Ian Clark	56
