Season	Episode	Episode Summary	Premier date	External Link	Coach
13	1	Cara is made into an actress.	June 18, 2012	Full Episode	Nikki DeLoach
13	2	Felicia is made into a rapper	June 19, 2012	Full Episode	Killer Mike |-|
13	3	Rachel is made into a makeup mogul.	June 20, 2012	Full Episode	Nikki Robinson
13	4	Megan is made into a model.	June 22, 2012	Full Episode	Whitney Thompson
13	5	Rita is made into an actress.	June 25, 2012	Full Episode	Amanda Seales
13	6	Aly is made into a roller derby girl.	June 25, 2012	Full Episode	Tracy "Disco" Akers
13	7	Dana is made into having her own show.	June 26, 2012	Full Episode	Lashan Browning
13	8	Amber is made into a recording artist.	June 29, 2012	Full Episode	Abesi Manyando
13	9	Chris is made into a celebrity assistant.	October 9, 2012	Full Episode	BJ Coleman
13	10	Shane is made into a tough mudder.	October 10, 2012	Full Episode	Chris
13	11	Shambre is made into a gogo Dancer.	October 11, 2012	Full Episode	Katie Kansas
13	12	Richard is made into a drag queen.	October 12, 2012	Full Episode	Manila Luzon
13	13	Ashley is made into a circus performer.	October 15, 2012	Full Episode	Rebecca Star
13	14	Emilly and Jeanette are made into actresses.	October 17, 2012	Full Episode	Brian Patacca
13	15	Maeve is made into a pageant queen.	November 3, 2012	Full Episode	Gina Cerilli, Elena LaQuatra
