Place	Player	Country	Score	To par
1	José María Olazábal	Spain	70-66=136	–8
2	Scott McCarron	United States	69-68=137	–7
T3	Lee Janzen	United States	70-69=139	–5
T3	Greg Norman	Australia	71-68=139	–5
T5	Davis Love	United States	69-72=141	–3
T5	Nick Price	Zimbabwe	69-72=141	–3
T7	Brandel Chamblee	United States	69-73=142	–2
T7	Steve Elkington	Australia	72-70=142	–2
T7	Bill Glasson	United States	72-70=142	–2
T7	Justin Leonard	United States	70-72=142	–2
T7	Bernhard Langer	Germany	76-66=142	–2
T7	Colin Montgomerie	Scotland	70-72=142	–2
