Tie no	Home team	Score	Away team	Date
1	Enfield	0–0	Newport County	20 November 1982
Replay	Newport County	4–2	Enfield	23 November 1982
2	Blackpool	3–0	Horwich RMI	20 November 1982
3	Chester	1–1	Northwich Victoria	20 November 1982
Replay	Northwich Victoria	3–1	Chester	22 November 1982
4	Chesterfield	2–2	Peterborough United	20 November 1982
Replay	Peterborough United	2–1	Chesterfield	24 November 1982
5	Darlington	0–1	Scunthorpe United	20 November 1982
6	Bournemouth	0–2	Southend United	20 November 1982
7	Preston North End	5–1	Shepshed Charterhouse	20 November 1982
8	Weymouth	4–3	Maidstone United	20 November 1982
9	Worthing	2–1	Dartford	20 November 1982
10	Reading	1–2	Bishop's Stortford	20 November 1982
11	Walsall	3–0	Kettering Town	20 November 1982
12	Gillingham	1–0	Dagenham	20 November 1982
13	Macclesfield Town	1–5	Worcester City	20 November 1982
14	Swindon Town	2–0	Wealdstone	20 November 1982
15	Tranmere Rovers	4–2	Scarborough	20 November 1982
16	Brentford	7–0	Windsor & Eton	20 November 1982
17	Bristol Rovers	1–0	Wycombe Wanderers	20 November 1982
18	Northampton Town	2–2	Wimbledon	20 November 1982
Replay	Wimbledon	0–2	Northampton Town	23 November 1982
19	Portsmouth	4–1	Hereford United	20 November 1982
20	Plymouth Argyle	2–0	Exeter City	20 November 1982
21	Hull City	1–1	Sheffield United	20 November 1982
Replay	Sheffield United	2–0	Hull City	23 November 1982
22	Altrincham	2–1	Rochdale	20 November 1982
23	Huddersfield Town	1–0	Mossley F.C.	20 November 1982
24	Mansfield Town	3–2	Stockport County	20 November 1982
25	Port Vale	0–1	Bradford City	20 November 1982
26	Halifax Town	0–1	North Shields	20 November 1982
27	Chesham United	0–1	Yeovil Town	20 November 1982
28	Workington	1–2	Doncaster Rovers	20 November 1982
29	Carshalton Athletic	4–0	Barnet	20 November 1982
30	York City	3–1	Bury	20 November 1982
31	Aldershot	4–0	Wimborne Town	20 November 1982
32	Wigan Athletic	0–0	Telford United	21 November 1982
Replay	Telford United	2–1	Wigan Athletic	23 November 1982
33	Boston United	3–1	Crewe Alexandra	20 November 1982
34	Holbeach United	0–4	Wrexham	20 November 1982
35	Colchester United	0–2	Torquay United	20 November 1982
36	Slough Town	1–0	Millwall	20 November 1982
37	Wokingham Town	1–1	Cardiff City	20 November 1982
Replay	Cardiff City	3–0	Wokingham Town	23 November 1982
38	Oxford United	5–2	Folkestone	20 November 1982
39	Orient	4–1	Bristol City	20 November 1982
40	Hartlepool United	3–0	Lincoln City	20 November 1982
