Locale	Skip	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot Pct.
Alberta	Shannon Kleibrink	10	1	89	56	51	40	12	16	84
Ontario	Sherry Middaugh	9	2	92	58	50	41	12	16	80
Quebec	Marie-France Larouche	8	3	89	67	45	45	10	9	80
Manitoba	Jennifer Jones	7	4	78	65	49	44	6	17	83
Newfoundland and Labrador	Heather Strong	7	4	78	77	53	46	11	14	79
Nova Scotia	Mary-Anne Arsenault	6	5	75	76	46	49	11	12	80
Saskatchewan	Michelle Englot	5	6	64	68	45	42	9	17	77
Canada	Kelly Scott	5	6	70	73	43	44	15	14	83
British Columbia	Allison MacInnes	4	7	70	74	43	49	11	10	74
Prince Edward Island	Suzanne Gaudet	3	8	60	82	40	51	6	6	76
Northwest Territories / Yukon	Kerry Galusha	1	10	59	92	45	52	5	13	73
