Week	Date	Opponent	Result	Attendance
1	September 4, 1988	Atlanta Falcons	W 31-17	31,075
2	September 11, 1988	at Los Angeles Rams	L 17-10	46,262
3	September 18, 1988	New Orleans Saints	L 22-14	32,943
4	September 25, 1988	New York Jets	L 17-10	29,250
5	October 2, 1988	at San Francisco 49ers	L 20-13	58,285
6	October 9, 1988	Chicago Bears	L 24-7	64,526
7	October 16, 1988	at New York Giants	L 30-10	74,813
8	October 23, 1988	at Kansas City Chiefs	W 7-6	66,926
9	October 30, 1988	New York Giants	L 13-10 OT	38,354
10	November 6, 1988	at Minnesota Vikings	L 44-17	55,573
11	November 13, 1988	Tampa Bay Buccaneers	L 23-20	25,956
12	November 20, 1988	at Green Bay Packers	W 19-9	44,327
13	November 24, 1988	Minnesota Vikings	L 23-0	46,379
14	December 4, 1988	Green Bay Packers	W 30-14	28,124
15	December 11, 1988	at Chicago Bears	L 13-12	55,010
16	December 18, 1988	at Tampa Bay Buccaneers	L 21-10	37,778
