Episode	Date	Official rating 4+	Share 4+	Official rating 16-39	Share 16-39
1	8 March 2009	4 319 529	25,14%	1 949 470	24,34%
2	15 March 2009	4 149 096	24,51%	1 802 285	23,22%
3	22 March 2009	4 136 099	23,66%	1 837 412	22,51%
4	29 March 2009	4 091 280	24,12%	1 708 393	22,56%
5	5 April 2009	3 916 182	22,99%	1 567 220	20,67%
6	12 April 2009	3 080 254	19,98%	1 217 633	18,33%
7	19 April 2009	3 644 024	21,58%	1 474 258	19,83%
8	26 April 2009	3 224 559	20,06%	1 326 068	18,83%
9	3 May 2009	3 421 426	21,63%	1 325 175	19,08%
10	10 May 2009	3 484 505	21,84%	1 437 254	21,04%
11	17 May 2009	3 852 979	25,46%	1 535 730	23,58%
