Round	Player	Position	Nationality	College/Junior/Club Team (League)
2	Janne Niinimaa	Defense	Finland	Kärpät ( SM-liiga )
3	Vaclav Prospal	Left Wing	Czech Republic	HC České Budějovice (CZE)
3	Milos Holan	Defense	Czech Republic	HC Vitkovice (CZE)
5	Vladimir Kretchine	Left Wing	Russia	Traktor Chelyabinsk (RUS)
6	Mike Crowley	Defense	United States	Bloomington Jefferson High School (Minn.)
7	Aaron Israel	Goaltender	United States	‬Harvard Crimson ( ECAC )
8	Paul Healey	Wing	Canada	Prince Albert Raiders ( WHL )
9	Tripp Tracy	Goaltender	United States	Harvard Crimson (ECAC)
9	E.J. Bradley	Center	United States	Tabor Academy (Mass.)
10	Jeff Staples	Defense	Canada	Brandon Wheat Kings (WHL)
11	Ken Hemenway	Defense	United States	Alaska All-Stars (AAAAHA)
Sup	Shannon Finn	Defense	Canada	UIC Flames ( CCHA )
