Venue	Home	Guest	Score	Attendance
Stadion na Koniku	FK Ribnica	OFK Bar	1:1 - 5:6 (pen)	400
Stadion na Koniku	FK Grafičar	FK Budućnost	0:2	500
Stadion Topolica	FK Mornar	FK Mladost	0:1	600
Stadion pod Golubinjom	FK Pljevlja 97	FK Mogren	0:5	2.000
Stadion Zabjela	FK Zabjelo	FK Lovćen	0:0 - 2:4 (pen)	400
Stadion Olimpik	FK Otrant	FK Jezero	1:1 - 5:3 (pen)	700
Stadion pod Vrmcem	FK Bokelj	FK Berane	1:1 - 1:4 (pen)	400
Stadion Gradski park	FK Arsenal	FK Jedinstvo	0:0 - 4:1 (pen)	500
Stadion u Radanovićima	FK Grbalj	FK Čelik	4:0	300
Stadion Trešnjica	FK Zeta	FK Tekstilac	3:1	600
Stadion Bandžovo brdo	FK Ibar	FK Crvena Stijena	1:0	1.000
Stadion pod Malim brdom	OFK Petrovac	FK Gusinje	3:0	400
Stadion Tuško polje	FK Dečić	FK Bratstvo	3:0	400
Gradski stadion	FK Prvijenac	FK Kom	0:3	500
