Date	Opponent	Venue	Result	Attendance
6 August 2005	Norwich City	A	1-1	25,355
9 August 2005	Millwall	A	0-0	8,344
13 August 2005	Burnley	A	0-4	11,683
20 August 2005	Queens Park Rangers	H	3-0	23,000
27 August 2005	Sheffield United	A	1-2	17,739
29 August 2005	Southampton	H	1-1	23,000
10 September 2005	Reading	H	1-1	22,074
14 September 2005	Derby County	A	1-1	21,840
17 September 2005	Brighton & Hove Albion	A	2-2	6,529
24 September 2005	Hull City	H	0-2	21,161
28 September 2005	Watford	H	3-1	16,978
1 October 2005	Sheffield Wednesday	A	2-3	22,732
15 October 2005	Crystal Palace	H	1-4	24,438
18 October 2005	Ipswich Town	A	2-2	22,656
23 October 2005	Leicester City	A	1-2	22,991
29 October 2005	Luton Town	H	1-0	22,228
2 November 2005	Stoke City	H	1-2	16,617
6 November 2005	Cardiff City	A	0-0	11,424
19 November 2005	Ipswich Town	H	1-1	18,316
22 November 2005	Crystal Palace	A	0-2	17,343
26 November 2005	Norwich City	H	2-2	20,433
3 December 2005	Plymouth Argyle	H	3-1	18,796
10 December 2005	Millwall	H	1-0	16,156
19 December 2005	Queens Park Rangers	A	1-0	13,556
26 December 2005	Leeds United	A	1-3	24,291
28 December 2005	Crewe Alexandra	H	1-1	19,045
31 December 2005	Preston North End	A	1-3	12,936
2 January 2006	Wolverhampton Wanderers	H	2-0	26,851
14 January 2006	Reading	A	0-2	22,813
21 January 2006	Derby County	H	6-1	20,267
31 January 2006	Hull City	A	2-1	18,381
4 February 2006	Brighton & Hove Albion	H	2-0	20,541
11 February 2006	Watford	A	0-4	19,842
15 February 2006	Sheffield Wednesday	H	2-1	20,021
18 February 2006	Plymouth Argyle	A	1-3	8,705
25 February 2006	Burnley	H	1-0	19,641
4 March 2006	Southampton	A	1-1	21,980
11 March 2006	Sheffield United	H	2-0	23,506
18 March 2006	Leeds United	H	1-1	26,643
25 March 2006	Crewe Alexandra	A	1-4	6,444
1 April 2006	Preston North End	H	0-1	21,023
8 April 2006	Wolverhampton Wanderers	A	2-2	23,702
15 April 2006	Luton Town	A	2-1	8,752
17 April 2006	Leicester City	H	1-1	26,672
22 April 2006	Stoke City	A	1-0	13,385
30 April 2006	Cardiff City	H	3-1	22,536
