Average population (x 1000)	Live births	Deaths	Natural change	Crude birth rate (per 1000)	Crude death rate (per 1000)	Natural change (per 1000)
5 970	163 297	76 851	86 446	27.4	12.9	14.5
6 042	145 197	80 034	65 163	24.0	13.2	10.8
6 112	161 306	67 870	93 436	26.4	11.1	15.3
6 188	151 672	68 168	83 504	24.5	11.0	13.5
6 274	152 569	62 610	89 959	24.3	10.0	14.3
6 358	140 396	65 179	75 217	22.1	10.3	11.8
6 425	132 078	67 055	65 023	20.6	10.4	10.1
6 481	118 535	64 885	53 650	18.3	10.0	8.3
6 535	118 425	55 564	62 861	18.1	8.5	9.6
6 585	114 872	60 850	54 022	17.4	9.2	8.2
6 635	119 298	61 872	57 426	18.0	9.3	8.7
6 693	115 222	57 990	57 232	17.2	8.7	8.6
6 752	110 008	62 830	47 178	16.3	9.3	7.0
6 809	108 324	57 778	50 546	15.9	8.5	7.4
6 863	103 847	62 100	41 747	15.1	9.0	6.1
6 916	106 699	58 856	47 843	15.4	8.5	6.9
6 974	103 775	55 471	48 304	14.9	8.0	6.9
7 027	103 491	62 915	40 576	14.7	9.0	5.8
7 078	103 621	60 932	42 689	14.6	8.6	6.0
7 127	105 478	68 152	37 326	14.8	9.6	5.2
7 171	102 453	67 211	35 242	14.3	9.4	4.9
7 214	104 070	65 872	38 198	14.4	9.1	5.3
7 258	106 859	70 822	36 037	14.7	9.8	5.0
7 303	108 361	67 152	41 209	14.8	9.2	5.6
7 351	110 458	66 457	44 001	15.0	9.0	6.0
7 401	112 945	69 590	43 355	15.3	9.4	5.9
7 452	114 035	68 565	45 470	15.3	9.2	6.1
7 503	111 510	68 924	42 586	14.9	9.2	5.7
7 550	110 622	71 986	38 636	14.7	9.5	5.1
7 611	109 953	72 306	37 647	14.4	9.5	4.9
7 688	109 597	76 180	33 417	14.3	9.9	4.3
7 729	103 407	78 086	25 321	13.4	10.1	3.3
7 738	106 575	78 473	28 102	13.8	10.1	3.6
7 747	108 003	83 506	24 497	13.9	10.8	3.2
7 754	107 036	82 742	24 294	13.8	10.7	3.1
7 759	101 938	81 836	20 102	13.1	10.5	2.6
7 759	99 419	83 977	15 442	12.8	10.8	2.0
7 757	98 279	83 426	14 853	12.7	10.8	1.9
7 755	97 471	83 616	13 855	12.6	10.8	1.8
7 773	91 270	85 256	6 014	11.7	11.0	0.8
7 806	90 590	85 932	4 658	11.6	11.0	0.6
7 836	90 378	89 072	1 306	11.5	11.4	0.2
7 852	86 877	93 475	-6 598	11.1	11.9	-0.8
7 848	87 931	95 121	-7 190	11.2	12.1	-0.9
7 843	85 292	93 011	-7 719	10.9	11.9	-1.0
7 837	86 236	93 933	-7 697	11.0	12.0	-1.0
7 828	82 548	98 370	-15 822	10.5	12.6	-2.0
7 831	79 716	98 068	-18 352	10.2	12.5	-2.3
7 568	76 330	99 376	-23 046	10.1	13.1	-3.0
7 540	72 222	101 444	-29 222	9.6	13.5	-3.9
7 516	73 764	104 042	-30 278	9.8	13.8	-4.0
7 503	78 435	99 008	-20 573	10.5	13.2	-2.7
7 500	78 101	102 785	-24 684	10.4	13.7	-3.3
7 481	79 025	103 946	-24 921	10.6	13.9	-3.3
7 463	78 186	104 320	-26 134	10.5	14.0	-3.5
7 441	72 180	106 771	-34 591	9.7	14.3	-4.6
7 412	70 997	102 884	-31 887	9.6	13.9	-4.3
7 382	68 102	102 805	-34 703	9.2	13.9	-4.7
7 350	69 083	102 711	-33 628	9.4	14.0	-4.6
7 321	70 299	104 000	-33 701	9.6	14.2	-4.6
7 291	68 304	103 211	-34 907	9.4	14.2	-4.8
7 259	65 598	102 935	-37 337	9.0	14.2	-5.2
7 199	67 257	102 400	-35 143	9.3	14.2	-4.9
