No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
7	1	"The Bet"	Steve Hoefer	George Doty IV	March14,2004	202
8	2	"Guitar"	Virgil Fabian	Dan Schneider	March21,2004	201
9	3	"Movie Job"	Virgil Fabian	Dan Schneider	March28,2004	203
10	4	"Football"	Virgil Fabian	Story by: Barry O'Brien Teleplay by: Dan Schneider	April4,2004	205
11	5	"Pool Shark"	Steve Hoefer	Anthony Del Broccolo	April18,2004	204
12	6	"Smart Girl"	Roger Christiansen	Dan Schneider	April25,2004	207
13	7	"Little Diva"	Virgil Fabian	Eric Friedman	May2,2004	208
14	8	"Blues Brothers"	Fred Savage	Craig DiGregorio	September12,2004	206
15	9	"Driver's License"	Virgil Fabian	Dan Schneider	September12,2004	209
16	10	"Number 1 Fan"	Virgil Fabian	Dan Schneider	September19,2004	211
17	11	"Mean Teacher"	Steve Hoefer	George Doty IV	September26,2004	210
18	12	"The Gary Grill"	Virgil Fabian	Anthony Del Broccolo	October17,2004	212
19	13	"Drew & Jerry"	Steve Hoefer	Dan Schneider	October24,2004	213
