Year	English title	Original title	Country	Director
1990	Life and Nothing But	La vie et rien d'autre	France	Bertrand Tavernier
1991	The Beautiful Troublemaker	La belle noiseuse	France/Switzerland	Jacques Rivette
1992	The Crying Game	The Crying Game	UK/Japan	Neil Jordan
1993	Farewell My Concubine	Ba wang bie ji	China/Hong Kong	Chen Kaige
1994	Three Colours: Red	Trois couleurs: Rouge	France/Poland	Krzysztof Kieslowski
Best Foreign Language Film	Best Foreign Language Film	Best Foreign Language Film	Best Foreign Language Film	Best Foreign Language Film
1995	Wild Reeds	Les roseaux sauvages	France	André Téchiné
1996	A Judgement in Stone	La cérémonie	France	Claude Chabrol
1997	The Promise	La promesse	Belgium	Jean-Pierre and Luc Dardenne
1998	The Celebration	Festen	Denmark	Thomas Vinterberg
1999	All About My Mother	Todo sobre mi madre	Spain	Pedro Almodóvar
