Wireless LAN	Chipset	Centrino	Processor	Codename	Release Date	Process Technology	Microarchitecture
Intel PRO/Wireless 2100	800 Series	Carmel	Intel Pentium M	Banias	2003	130nm	Intel P6
Intel PRO/Wireless 2200	800 Series	Carmel	Intel Pentium M	Dothan	2004	90nm	Intel P6
Intel PRO/Wireless 2200	900 Series	Sonoma	Intel Pentium M	Dothan	2005	90nm	Intel P6
Intel PRO/Wireless 2915	900 Series	Sonoma	Intel Pentium M	Dothan	2005	90nm	Intel P6
Intel PRO/Wireless 3945	900 Series	Napa	Intel Core Duo/Solo	Yonah	2006	65nm	Intel P6
Intel PRO/Wireless 4965	900 Series	Napa Refresh	Intel Core 2 Duo/Solo	Merom	2006	65nm	Intel Core
Intel Wireless WiFi Link 4965	900 Series	Santa Rosa	Intel Core 2 Duo	Merom	2007	65nm	Intel Core
Intel Wireless WiFi Link 4965	900 Series	Santa Rosa Refresh	Intel Core 2 Duo	Penryn	2008	45nm	Intel Core
Intel WiFi Link 5100	4 Series	Montevina	Intel Core 2 Duo	Penryn	2008	45nm	Intel Core
Intel WiMAX/WiFi Link 5150	4 Series	Montevina	Intel Core 2 Duo	Penryn	2008	45nm	Intel Core
Intel Ultimate N WiFi Link 5300	4 Series	Montevina	Intel Core 2 Duo	Penryn	2008	45nm	Intel Core
Intel WiMAX/WiFi Link 5350	4 Series	Montevina	Intel Core 2 Duo	Penryn	2008	45nm	Intel Core
Intel Centrino Wireless-N 1000	5 Series	Calpella	Intel Core i7/i7 Extreme Edition	Clarksfield	2009	45nm	Intel Nehalem
Intel Centrino Advanced-N 6200	5 Series	Calpella	Intel Core i3/i5/i7	Arrandale	2010	32nm	Intel Nehalem
Intel Centrino Advanced-N + WiMAX 6250	5 Series	Calpella	Intel Core i3/i5/i7	Arrandale	2010	32nm	Intel Nehalem
Intel Centrino Ultimate-N 6300	5 Series	Calpella	Intel Core i3/i5/i7	Arrandale	2010	32nm	Intel Nehalem
Intel Centrino Wireless-N 1000	6 Series	Huron River	Intel Core i3/i5/i7/i7 Extreme Edition	Sandy Bridge	2011	32nm	Intel Sandy Bridge
Intel Centrino Wireless-N 1030	6 Series	Huron River	Intel Core i3/i5/i7/i7 Extreme Edition	Sandy Bridge	2011	32nm	Intel Sandy Bridge
Intel Centrino Advanced-N + WiMAX 6150	6 Series	Huron River	Intel Core i3/i5/i7/i7 Extreme Edition	Sandy Bridge	2011	32nm	Intel Sandy Bridge
Intel Centrino Advanced-N 6205	6 Series	Huron River	Intel Core i3/i5/i7/i7 Extreme Edition	Sandy Bridge	2011	32nm	Intel Sandy Bridge
Intel Centrino Advanced-N 6230	6 Series	Huron River	Intel Core i3/i5/i7/i7 Extreme Edition	Sandy Bridge	2011	32nm	Intel Sandy Bridge
Intel Centrino Advanced-N + WiMAX 6250	6 Series	Huron River	Intel Core i3/i5/i7/i7 Extreme Edition	Sandy Bridge	2011	32nm	Intel Sandy Bridge
Intel Centrino Ultimate-N 6300	6 Series	Huron River	Intel Core i3/i5/i7/i7 Extreme Edition	Sandy Bridge	2011	32nm	Intel Sandy Bridge
Intel Centrino Ultimate-N 6300	7 Series	Chief River	Intel Core i3/i5/i7/i7 Extreme Edition	Ivy Bridge	2012	22nm	Intel Sandy Bridge
Intel Centrino Advanced-N 6235	7 Series	Chief River	Intel Core i3/i5/i7/i7 Extreme Edition	Ivy Bridge	2012	22nm	Intel Sandy Bridge
Intel Centrino Advanced-N 6205	7 Series	Chief River	Intel Core i3/i5/i7/i7 Extreme Edition	Ivy Bridge	2012	22nm	Intel Sandy Bridge
Intel Centrino Wireless-N 2230	7 Series	Chief River	Intel Core i3/i5/i7/i7 Extreme Edition	Ivy Bridge	2012	22nm	Intel Sandy Bridge
Intel Centrino Wireless-N 2200	7 Series	Chief River	Intel Core i3/i5/i7/i7 Extreme Edition	Ivy Bridge	2012	22nm	Intel Sandy Bridge
Intel Centrino Wireless-N 135	7 Series	Chief River	Intel Core i3/i5/i7/i7 Extreme Edition	Ivy Bridge	2012	22nm	Intel Sandy Bridge
Intel Centrino Wireless-N 105	7 Series	Chief River	Intel Core i3/i5/i7/i7 Extreme Edition	Ivy Bridge	2012	22nm	Intel Sandy Bridge
Intel Centrino	8 Series	Shark Bay	Intel Core i3/i5/i7/i7 Extreme Edition	Haswell	2013	22nm	Intel Haswell
