Agency	Route Number	North/East Terminal	South/West Terminal	More Information
Golden Gate Transit	72/72F/72X Commute periods only	Santa Rosa (Piner and Industrial)	San Francisco (Financial District)	See List of Golden Gate Transit Routes
Golden Gate Transit	74 One northbound commute trip only	Santa Rosa (Piner and Industrial)	San Francisco (Financial District)	See List of Golden Gate Transit Routes
Golden Gate Transit	101 Limited-stop service	Santa Rosa (Piner and Industrial)	San Francisco (Civic Center)	See List of Golden Gate Transit Routes
Mendocino Transit Authority	65 CC Rider	Mendocino (Main St. & Lansing)	Santa Rosa (Transit Mall)	Mendocino North Coast Service
Mendocino Transit Authority	95 South Mendocino Coast	Point Arena (Downtown)	Santa Rosa (Transit Mall)	Mendocino South Coast Service
Santa Rosa CityBus	1	Mendocino Avenue	Mendocino Avenue	See Santa Rosa CityBus Map and Schedules
Santa Rosa CityBus	2	Bennett Valley	Bennett Valley	See Santa Rosa CityBus Map and Schedules
Santa Rosa CityBus	3	West Ninth Street	West Ninth Street	See Santa Rosa CityBus Map and Schedules
Santa Rosa CityBus	4	Rincon Valley	Rincon Valley	See Santa Rosa CityBus Map and Schedules
Santa Rosa CityBus	5	Santa Rosa Avenue	Santa Rosa Avenue	See Santa Rosa CityBus Map and Schedules
Santa Rosa CityBus	6	West Third Street	West Third Street	See Santa Rosa CityBus Map and Schedules
Santa Rosa CityBus	7	Montgomery Village & Rincon Valley	Montgomery Village & Rincon Valley	See Santa Rosa CityBus Map and Schedules
Santa Rosa CityBus	8	Sonoma Avenue	Sonoma Avenue	See Santa Rosa CityBus Map and Schedules
Santa Rosa CityBus	9	Sebastopol Road	Sebastopol Road	See Santa Rosa CityBus Map and Schedules
Santa Rosa CityBus	10	Coddingtown	Coddingtown	See Santa Rosa CityBus Map and Schedules
Santa Rosa CityBus	12	Roseland	Roseland	See Santa Rosa CityBus Map and Schedules
Santa Rosa CityBus	14	County Center	County Center	See Santa Rosa CityBus Map and Schedules
Santa Rosa CityBus	17	Piner Road	Piner Road	See Santa Rosa CityBus Map and Schedules
Santa Rosa CityBus	18	Southeast Corridor	Southeast Corridor	See Santa Rosa CityBus Map and Schedules
Santa Rosa CityBus	19	South City Corridor	South City Corridor	See Santa Rosa CityBus Map and Schedules
Sonoma County Transit	20	Santa Rosa (Kaiser Hospital)	Monte Rio Graton One trip	See Sonoma County Transit Routes
Sonoma County Transit	20X Commute periods only	Santa Rosa (Transit Mall)	Occidental (Bohemian Hwy & Graton)	See Sonoma County Transit Routes
Sonoma County Transit	22 Weekdays only	Santa Rosa (Transit Mall)	Sebastopol (Laguna & McKinley)	See Sonoma County Transit Routes
Sonoma County Transit	30	Sonoma (Sonoma Plaza)	Santa Rosa (Kaiser Hospital or Coddingtown Mall)	See Sonoma County Transit Routes
Sonoma County Transit	30X Commute periods only	Sonoma (Sonoma Plaza)	Santa Rosa (Kaiser Hospital)	See Sonoma County Transit Routes
Sonoma County Transit	34 Commute periods only	Sonoma (Sonoma Plaza)	Santa Rosa (Transit Mall)	See Sonoma County Transit Routes
Sonoma County Transit	42 Weekdays only	Santa Rosa (Transit Mall)	Santa Rosa Industry Park West	See Sonoma County Transit Routes
Sonoma County Transit	46 Weekdays only	Santa Rosa (Transit Mall)	Rohnert Park (Sonoma State University)	See Sonoma County Transit Routes
Sonoma County Transit	48 Route via Cotati , West Petaluma	Santa Rosa (Coddingtown)	Petaluma (Copeland St. Transit Mall)	See Sonoma County Transit Routes
Sonoma County Transit	60	All trips: Healdsburg (Healdsburg & Dry Creek)	Santa Rosa (Transit Mall)	See Sonoma County Transit Routes
Sonoma County Transit	60	Select trips: Cloverdale (City Hall or Depot)	Santa Rosa (Transit Mall)	See Sonoma County Transit Routes
