Country	Donor payment	Children per donor	Donor anonymity	Allowed recipients
Belgium	no data	6 children	varies	no data
Canada	no data	25 children per population of 800,000	yes	no data
Denmark	200-500 DKK	12 children	varies	Everyone
France	no data	5 children	yes	no data
Germany	varies	15 children	no	Usually married heterosexual couples
Hong Kong, China	no data	3 children	no data	no data
Netherlands	expenses	25 children	no	Everyone
Norway	no data	8 children	no	no data
Spain	no data	6 children	yes	Everyone
Sweden	300 SEK	12 children to 6 families (2 per family)	no	Married or in cohabitation
Switzerland	expenses	8 children	no	Married heterosexual couples
