Week	Partner	Style	Choreographer(s)	Results
1	Jessi Peralta	Smooth Waltz	Tony Meredith	Safe
2	Jessi Peralta	Jazz	Tyce Diorio	Bottom Three
3	Jessi Peralta	Cha Cha	Tony Meredith Melanie LaPatin	Safe
4	Sara Von Gillern	West Coast Swing	Benji Schwimmer Heidi Groskreutz	Safe
5	Sara Von Gillern	Jazz	Mandy Moore	Safe
6	Lauren Gottlieb	Hip-Hop	Shane Sparks	Safe
7	Sabra Johnson	Broadway	Tyce Diorio	Safe
7	Sabra Johnson	Quickstep	Tony Meredith Melanie LaPatin	Safe
8	Lacey Schwimmer	Hip-Hop	Dave Scott	TOP SIX
8	Lacey Schwimmer	Smooth Waltz	Hunter Johnson	TOP SIX
