Date	Venue	Score	Result	Competition
28 March 2001	Hardturm , Zurich	1–0	5–0	2002 World Cup qualifier
28 March 2001	Hardturm , Zurich	2–0	5–0	2002 World Cup qualifier
28 March 2001	Hardturm , Zurich	5–0	5–0	2002 World Cup qualifier
2 June 2001	Svangaskarð , Toftir	1–0	1–0	2002 World Cup qualifier
5 September 2001	Stade Josy Barthel , Luxembourg	1–0	3–0	2002 World Cup qualifier
21 August 2002	St. Jakob-Park , Basel	2–1	3–2	Friendly
8 September 2002	St. Jakob-Park, Basel	1–0	4–1	Euro 2004 qualifier
12 February 2003	Športni Park , Nova Gorica	3–0	5–1	Friendly
12 February 2003	Športni Park , Nova Gorica	5–0	5–1	Friendly
30 April 2003	Stade de Genève , Geneva	1–0	1–2	Friendly
7 June 2003	St. Jakob-Park, Basel	1–0	2–2	Euro 2004 qualifier
7 June 2003	St. Jakob-Park, Basel	2–0	2–2	Euro 2004 qualifier
11 June 2003	Stade de Genève, Geneva	2–1	3–2	Euro 2004 qualifier
11 October 2003	St. Jakob-Park, Basel	2–0	2–0	Euro 2004 qualifier
18 February 2004	Stade Moulay Abdellah , Rabat	1–2	1–2	Friendly
9 October 2004	Ramat Gan Stadium , Tel Aviv	1–1	2–2	2006 World Cup qualifier
30 March 2005	Hardturm, Zurich	1–0	1–0	2006 World Cup qualifier
4 June 2005	Svangaskarð, Toftir	2–1	3–1	2006 World Cup qualifier
4 June 2005	Svangaskarð, Toftir	3–1	3–1	2006 World Cup qualifier
17 August 2005	Ullevaal Stadion , Oslo	1–0	2–0	Friendly
3 September 2005	St. Jakob-Park, Basel	1–0	1–1	2006 World Cup qualifier
7 September 2005	GSP Stadium , Nicosia	1–0	3–1	2006 World Cup qualifier
16 November 2005	Şükrü Saracoğlu Stadium , Istanbul	1–0	2–4	2006 World Cup play-offs
3 June 2006	Hardturm, Zurich	1–0	4–1	Friendly
3 June 2006	Hardturm, Zurich	3–0	4–1	Friendly
19 June 2006	FIFA WM Stadion Dortmund , Dortmund	1–0	2–0	2006 World Cup
23 June 2006	FIFA WM Stadion Hannover , Hanover	2–0	2–0	2006 World Cup
16 August 2006	Rheinpark Stadion , Vaduz	1–0	3–0	Friendly
16 August 2006	Rheinpark Stadion , Vaduz	2–0	3–0	Friendly
2 September 2006	St. Jakob-Park, Basel	1–0	1–0	Friendly
6 September 2006	Stade de Genève, Geneva	2–0	2–0	Friendly
25 March 2007	Miami Orange Bowl , Miami	1–1	1–3	Friendly
24 May 2008	Cornaredo Stadium , Lugano	2–0	2–0	Friendly
30 May 2008	AFG Arena , St. Gallen	1–0	3–0	Friendly
30 May 2008	AFG Arena , St. Gallen	2–0	3–0	Friendly
11 October 2008	AFG Arena, St. Gallen	1–0	2–1	2010 World Cup qualifier
15 October 2008	Karaiskakis Stadium , Piraeus	1–0	2–1	2010 World Cup qualifier
28 March 2009	Zimbru Stadium , Chişinău	1–0	2–0	2010 World Cup qualifier
1 April 2009	Stade de Genève, Geneva	2–0	2–0	2010 World Cup qualifier
9 September 2009	Skonto Stadium , Riga	1–0	2–2	2010 World Cup qualifier
17 November 2010	Stade de Genève, Geneva	1–0	2–2	Friendly
17 November 2010	Stade de Genève, Geneva	2–1	2–2	Friendly
