Season	Division	Wins	Ties	Final Position
2001	British Senior Flag League, Southern	3	1	2 / 4
2002	British Senior Flag League, Nine-Man League	5	3	2 / 7
2003 to 2005	DID NOT COMPETE	DID NOT COMPETE	DID NOT COMPETE	DID NOT COMPETE
2006	BAFL Division Two South	0	0	4 / 4
2007	BAFL Division Two South East	5	0	3 / 6
2008	BAFL Division Two South East	6	0	3 / 5
2009	BAFL Division Two South East	8	1	1 / 4
2010	BAFL Division One South East	8	1	1 / 4
2011	BAFL Division One South east	2	6	—
2012	BAFL Division One South and Central	8	2	8 / 2
