Date	Opponent	Score	Loss	Record
September 1	Mariners	3–2 (10)	Buskey (6–6)	43–92
September 2	Mariners	8–5	Twitchell (0–2)	44–92
September 3	@ Orioles	2–1 (11)	Buskey (6–7)	44–93
September 3	@ Orioles	5–1	Lemanczyk (8–10)	44–94
September 5	@ Orioles	Postponed (rain) Rescheduled for September 6	Postponed (rain) Rescheduled for September 6	Postponed (rain) Rescheduled for September 6
September 6	@ Orioles	5–0	Edge (2–2)	44–95
September 7	@ Indians	9–8	Buskey (6–8)	44–96
September 8	@ Indians	5–4	Stieb (6–6)	44–97
September 9	@ Indians	14–10	Buskey (6–9)	44–98
September 11	Orioles	3–1	McGregor (11–5)	45–98
September 12	Orioles	3–2	Palmer (8–6)	46–98
September 13	Orioles	10–4	Huffman (6–15)	46–99
September 14	Indians	4–3	Wise (15–8)	47–99
September 15	Indians	5–2	Barker (6–5)	48–99
September 16	Indians	8–2	Garland (4–10)	49–99
September 17	Red Sox	5–4	Drago (9–6)	50–99
September 17	Red Sox	5–3	Freisleben (2–3)	50–100
September 18	Red Sox	8–3	Huffman (6–16)	50–101
September 19	Red Sox	8–0	Stieb (7–7)	50–102
September 20	Red Sox	6–2	Renko (10–9)	51–102
September 21	Yankees	3–2	Guidry (17–8)	52–102
September 22	Yankees	7–4	Edge (3–3)	52–103
September 23	Yankees	7–5	Huffman (6–17)	52–104
September 25	@ Red Sox	5–3	Stanley (16–11)	53–104
September 26	@ Red Sox	6–4	Moore (5–7)	53–105
September 27	@ Red Sox	6–5	Buskey (6–10)	53–106
September 28	@ Yankees	7–3	Edge (3–4)	53–107
September 29	@ Yankees	9–4	Huffman (6–18)	53–108
September 30	@ Yankees	9–2	Stieb (8–8)	53–109
