Game	January	Opponent	Score	Record
38	4	@ Minnesota North Stars	5 - 3	13-16-9
39	7	@ Colorado Rockies	3 - 1	13-17-9
40	9	Pittsburgh Penguins	5 - 3	13-18-9
41	10	@ Boston Bruins	3 - 2	14-18-9
42	14	@ Philadelphia Flyers	4 - 1	14-19-9
43	17	@ Vancouver Canucks	5 - 4	15-19-9
44	18	@ Los Angeles Kings	3 - 0	16-19-9
45	20	@ Atlanta Flames	5 - 3	16-20-9
46	22	@ Pittsburgh Penguins	3 - 1	16-21-9
47	25	Toronto Maple Leafs	4 - 3	16-22-9
48	28	@ New York Islanders	6 - 2	16-23-9
49	29	Los Angeles Kings	4 - 1	16-24-9
