Outcome	Date	Tournament	Surface	Opponent	Score
Runner-up	14 May 2006	Edinburgh , United Kingdom	Clay	Mari Andersson	6–0, 1–6, 3–6
Winner	20 August 2006	Koksijde , Belgium	Clay	Kristina Steiert	6–4, 6–1
Winner	19 November 2006	Florianópolis , Brazil	Clay	Estefania Craciún	6–1, 6–0
Winner	26 November 2006	Córdoba, Argentina	Clay	Teliana Pereira	6–1, 6–7 (4–7) , 6–0
Runner-up	15 April 2007	Torhout , Belgium	Hard	Claire Feuerstein	4–6, 4–6
Winner	29 July 2007	Les Contamines , France	Hard	Julie Coin	6–2, 7–6 (7–3)
Winner	28 October 2007	Hamanako , Japan	Carpet	Junri Namigata	4–6, 6–4, 6–2
Runner-up	4 November 2007	Taoyuan City , Taiwan	Hard	Akiko Morigami	4–6, 6–7 (5–7)
Winner	11 November 2007	Taizhou , China	Hard	Han Xinyun	6–2, 6–2
Winner	18 November 2007	Kunming , China	Hard	Urszula Radwańska	7–5, 6–4
Runner-up	15 March 2008	New Delhi , India	Hard	Ekaterina Dzehalevich	6–2, 3–6, 2–6
Runner-up	13 April 2008	Monzón , Spain	Hard	Petra Kvitová	6–2, 4–6, 5–7
Winner	11 May 2008	Indian Harbour Beach , USA	Clay	Bethanie Mattek	6–4, 7–5
Winner	22 February 2009	Surprise , USA	Hard	Julia Vakulenko	6–7 (0–7) , 6–3, 4–3, retired
Runner-up	1 March 2009	Clearwater , United States	Hard	Julie Coin	6–3, 1–1 retired
Runner-up	17 March 2009	Saint-Gaudens , France	Clay	Anastasiya Yakimova	5–7, 6–7 (0–7)
Winner	17 October 2010	Torhout , Belgium	Hard	Simona Halep	6–3, 6–2
