Tournament	Date	City	Country	Surface	Singles champions
Germany F1 Futures	January 11	Schwieberdingen	Germany	Carpet (i)	Jesse Huta Galung
Great Britain F1 Futures	January 11	Glasgow	United Kingdom	Hard (i)	Chris Eaton
Spain F1 Futures	January 11	Ciutadella	Spain	Clay	Francesco Aldi
USA F1 Futures	January 11	Plantation	United States	Clay	Benoît Paire
El Salvador F1 Futures	January 18	Santa Tecla	El Salvador	Clay	Borut Puc
Germany F2 Futures	January 18	Stuttgart	Germany	Hard (i)	Bastian Knittel
Great Britain F2 Futures	January 18	Sheffield	United Kingdom	Hard (i)	Stefano Galvani
Spain F2 Futures	January 18	Cala Millor	Spain	Clay	Attila Balázs
USA F2 Futures	January 18	Hollywood	United States	Clay	Éric Prodon
Argentina F1 Futures	January 25	Dolores	Argentina	Clay	Jonathan Gonzalia
France F1 Futures	January 25	Bagnoles-de-l'Orne	France	Clay (i)	Grégoire Burquier
Germany F3 Futures	January 25	Kaarst	Germany	Carpet (i)	Sergei Bubka
Guatemala F1 Futures	January 25	Guatemala City	Guatemala	Hard	Marius Copil
Israel F1 Futures	January 25	Eilat	Israel	Hard	Andrej Martin
Morocco F1 Futures	January 25	Casablanca	Morocco	Clay	Martin Kližan
Spain F3 Futures	January 25	Murcia	Spain	Hard	Roberto Bautista-Agut
USA F3 Futures	January 25	Tamarac	United States	Clay	Éric Prodon
Argentina F2 Futures	February 1	Tandil	Argentina	Clay	Juan-Manuel Valverde
Egypt F1 Futures	February 1	Giza	Egypt	Clay	Jaroslav Pospíšil
France F2 Futures	February 1	Feucherolles	France	Hard (i)	Charles-Antoine Brézac
Germany F4 Futures	February 1	Nussloch	Germany	Carpet (i)	Niels Desein
Israel F2 Futures	February 1	Eilat	Israel	Hard	Andrej Martin
Marocco F2 Futures	February 1	Rabat	Morocco	Clay	Lamine Ouahab
Panama F1 Futures	February 1	Panama City	Panama	Clay	César Ramírez
Spain F4 Futures	February 1	Murcia	Spain	Clay	Sergio Gutiérrez-Ferrol
USA F4 Futures	February 1	Palm Coast	United States	Clay	Marco Mirnegg
Argentina F3 Futures	February 8	Mar del Plata	Argentina	Clay	Martín Alund
Egypt F2 Futures	February 8	Giza	Egypt	Clay	Éric Prodon
France F3 Futures	February 8	Bressuire	France	Hard (i)	Andis Juška
Israel F3 Futures	February 8	Eilat	Israel	Hard	Miloslav Mečíř, Jr.
Mexico F1 Futures	February 8	Mexico City	Mexico	Hard	Arnau Brugués-Davi
Spain F5 Futures	February 8	Murcia	Spain	Clay	Pedro Clar-Rosselló
Australia F1 Futures	February 15	Mildura	Australia	Grass	Daniel King-Turner
Azerbaijan F1 Futures	February 15	Baku	Azerbaijan	Hard (i)	Ervin Eleskovic
B&H F1 Futures	February 15	Sarajevo	Bosnia	Carpet (i)	Dawid Olejniczak
Egypt F3 Futures	February 15	Giza	Egypt	Clay	Karim Maamoun
Spain F6 Futures	February 15	Cartagena	Spain	Clay	Gabriel Trujillo-Soler
USA F5 Futures	February 15	Brownsville	United States	Hard	Víctor Estrella
Australia F2 Futures	February 22	Berri	Australia	Grass	John Millman
Azerbaijan F2 Futures	February 22	Baku	Azerbaijan	Hard (i)	Jerzy Janowicz
B&H F2 Futures	February 22	Sarajevo	Bosnia	Hard (i)	Henri Kontinen
USA F6 Futures	February 22	Harlingen	United States	Hard	Arnau Brugués-Davi
Canada F1 Futures	March 1	Gatineau	Canada	Hard (i)	Michael Ryderstedt
Portugal F1 Futures	March 1	Faro	Portugal	Hard	Benoît Paire
Spain F7 Futures	March 1	Terrassa	Spain	Clay	Gabriel Trujillo-Soler
Turkey F1 Futures	March 1	Antalya	Turkey	Clay	Jesse Huta Galung
USA F7 Futures	March 1	McAllen	United States	Hard	Chen Ti
Canada F2 Futures	March 8	Montreal	Canada	Hard (i)	Adrien Bossel
France F4 Futures	March 8	Lille	France	Hard (i)	Ruben Bemelmans
Great Britain F3 Futures	March 8	Tipton	United Kingdom	Hard (i)	Roberto Bautista-Agut
Portugal F2 Futures	March 8	Lagos	Portugal	Hard	Guillermo Alcaide
Spain F8 Futures	March 8	Sabadell	Spain	Clay	Gabriel Trujillo-Soler
Switzerland F1 Futures	March 8	Torricella-Taverne	Switzerland	Carpet (i)	Luca Vanni
Turkey F2 Futures	March 8	Antalya	Turkey	Clay	Thomas Fabbiano
Canada F3 Futures	March 15	Sherbrooke	Canada	Hard (i)	Vasek Pospisil
China F1 Futures	March 15	Kaiyuan City	China	Hard (i)	Riccardo Ghedin
Croatia F1 Futures	March 15	Poreč	Croatia	Clay	Jaroslav Pospíšil
France F5 Futures	March 15	Poitiers	France	Hard (i)	Ruben Bemelmans
Great Britain F4 Futures	March 15	Bath	United Kingdom	Hard (i)	Andrej Martin
India F1 Futures	March 15	Kolkata	India	Clay	Nathan Thompson
Italy F1 Futures	March 15	Trento	Italy	Carpet (i)	Johannes Ager
Japan F1 Futures	March 15	Tokyo	Japan	Hard	Yuichi Ito
Kazakhstan F1 Futures	March 15	Astana	Kazakhstan	Hard (i)	Alexandre Kudryavtsev
Portugal F3 Futures	March 15	Albufeira	Portugal	Hard	Benoît Paire
Switzerland F2 Futures	March 15	Wetzikon	Switzerland	Carpet (i)	Matwé Middelkoop
Spain F9 Futures	March 15	Badalona	Spain	Clay	Gabriel Trujillo-Soler
Turkey F3 Futures	March 15	Antalya	Turkey	Clay	Pavol Červenák
China F2 Futures	March 22	Mengzi	China	Hard	Zhang Ze
Croatia F2 Futures	March 22	Rovinj	Croatia	Clay	Attila Balázs
India F2 Futures	March 22	Chandigargh	India	Hard	Karan Rastogi
Italy F2 Futures	March 22	Rome	Italy	Clay	Andreas Haider-Maurer
Japan F2 Futures	March 22	Tokyo	Japan	Hard	Go Soeda
Kazakhstan F2 Futures	March 22	Almaty	Kazakhstan	Hard (i)	Andrey Kuznetsov
Spain F10 Futures	March 22	Zaragoza	Spain	Clay (i)	Daniel Muñoz-de la Nava
Switzerland F3 Futures	March 22	Vaduz	Liechtenstein	Carpet (i)	Ante Pavić
Turkey F4 Futures	March 22	Antalya	Turkey	Clay	Marco Mirnegg
