Game	Date	Opponent	Result	Bills points	Opponents	Bills first downs	Record	'Attendance
1	Sept. 16	Oakland Raiders	Win	21	20	22	1–0	80,020
2	Sept. 22	Miami Dolphins	Loss	16	24	16	1–1	80,020
3	Sept. 29	New York Jets	Win	16	12	17	2–1	76,978
4	Oct. 6	at Green Bay Packers	Win	27	7	22	3–1	56,267
5	Oct. 13	at Baltimore Colts	Win	27	14	15	4–1	40,626
6	Oct. 20	New England Patriots	Win	30	28	19	5–1	78,935
7	Oct. 27	Chicago Bears	Win	16	6	16	6–1	78,084
8	Nov. 3	at New England Patriots	Win	29	28	22	7–1	61,279
9	Nov. 10	Houston Oilers	Loss	9	21	16	7–2	79,144
10	Nov. 17	at Miami Dolphins	Loss	28	35	16	7–3	69,313
11	Nov. 24	at Cleveland Browns	Win	15	10	10	8–3	66,504
12	Dec. 1	Baltimore Colts	Win	6	0	9	9–3	75,325
13	Dec. 8	at New York Jets	Loss	10	20	12	9–4	61,091
14	Dec. 15	at Los Angeles Rams	Loss	14	19	8	9–5	84,324
