Date	Visitor	Score	Home	Record
October 7	New York Islanders	1–5	Edmonton Oilers	1–0–0
October 9	Winnipeg Jets	4–5	Edmonton Oilers	2–0–0
October 12	Vancouver Canucks	6–2	Edmonton Oilers	2–1–0
October 14	Edmonton Oilers	1–6	Calgary Flames	2–2–0
October 16	Edmonton Oilers	3–3	Winnipeg Jets	2–2–1
October 17	Minnesota North Stars	3–3	Edmonton Oilers	2–2–2
October 19	Los Angeles Kings	6–8	Edmonton Oilers	3–2–2
October 23	Edmonton Oilers	5–6	Vancouver Canucks	3–3–2
October 25	Edmonton Oilers	5–4	Los Angeles Kings	4–3–2
October 29	Washington Capitals	3–4	Edmonton Oilers	5–3–2
October 30	Chicago Blackhawks	5–2	Edmonton Oilers	5–4–2
November 2	St. Louis Blues	4–5	Edmonton Oilers	6–4–2
November 4	Buffalo Sabres	3–7	Edmonton Oilers	7–4–2
November 6	Edmonton Oilers	2–5	Detroit Red Wings	7–5–2
November 8	Edmonton Oilers	7–3	Pittsburgh Penguins	8–5–2
November 9	Edmonton Oilers	3–2	New Jersey Devils	9–5–2
November 12	Edmonton Oilers	6–2	Toronto Maple Leafs	10–5–2
November 13	Edmonton Oilers	5–4	Buffalo Sabres	11–5–2
November 16	Winnipeg Jets	2–1	Edmonton Oilers	11–6–2
November 19	Toronto Maple Leafs	1–9	Edmonton Oilers	12–6–2
November 20	Edmonton Oilers	4–7	Winnipeg Jets	12–7–2
November 23	Edmonton Oilers	3–3	Minnesota North Stars	12–7–3
November 24	Edmonton Oilers	4–2	St. Louis Blues	13–7–3
November 26	Edmonton Oilers	5–7	Montreal Canadiens	13–8–3
November 28	Edmonton Oilers	7–4	Quebec Nordiques	14–8–3
November 30	Vancouver Canucks	2–4	Edmonton Oilers	15–8–3
December 2	Calgary Flames	7–4	Edmonton Oilers	15–9–3
December 4	New York Rangers	6–10	Edmonton Oilers	16–9–3
December 7	Quebec Nordiques	3–8	Edmonton Oilers	17–9–3
December 8	Edmonton Oilers	3–5	Calgary Flames	17–10–3
December 10	Winnipeg Jets	7–6	Edmonton Oilers	17–11–3
December 14	Edmonton Oilers	8–2	Toronto Maple Leafs	18–11–3
December 15	Edmonton Oilers	3–4	Boston Bruins	18–12–3
December 17	Edmonton Oilers	4–2	Hartford Whalers	19–12–3
December 19	Edmonton Oilers	5–5	Buffalo Sabres	19–12–4
December 21	Vancouver Canucks	2–1	Edmonton Oilers	19–13–4
December 23	Calgary Flames	1–4	Edmonton Oilers	20–13–4
December 31	Montreal Canadiens	4–2	Edmonton Oilers	20–14–4
January 2	Edmonton Oilers	3–2	Minnesota North Stars	21–14–4
January 4	Quebec Nordiques	2–4	Edmonton Oilers	22–14–4
January 7	Edmonton Oilers	2–7	Calgary Flames	22–15–4
January 8	Calgary Flames	0–6	Edmonton Oilers	23–15–4
January 10	Edmonton Oilers	4–5	Los Angeles Kings	23–16–4
January 13	Edmonton Oilers	3–5	Washington Capitals	23–17–4
January 15	Edmonton Oilers	0–1	New Jersey Devils	23–18–4
January 16	Edmonton Oilers	2–2	Chicago Blackhawks	23–18–5
January 18	Edmonton Oilers	9–4	Winnipeg Jets	24–18–5
January 20	Philadelphia Flyers	1–1	Edmonton Oilers	24–18–6
January 21	Pittsburgh Penguins	7–4	Edmonton Oilers	24–19–6
January 23	New York Rangers	3–2	Edmonton Oilers	24–20–6
January 25	Chicago Blackhawks	6–3	Edmonton Oilers	24–21–6
January 28	Edmonton Oilers	7–6	Los Angeles Kings	25–21–6
January 31	Edmonton Oilers	2–6	Vancouver Canucks	25–22–6
February 1	Vancouver Canucks	3–4	Edmonton Oilers	26–22–6
February 3	Detroit Red Wings	5–8	Edmonton Oilers	27–22–6
February 5	New Jersey Devils	4–2	Edmonton Oilers	27–23–6
February 9	Edmonton Oilers	3–1	Philadelphia Flyers	28–23–6
February 11	Edmonton Oilers	2–5	Boston Bruins	28–24–6
February 12	Edmonton Oilers	3–1	New York Rangers	29–24–6
February 14	Edmonton Oilers	3–5	New York Islanders	29–25–6
February 17	Washington Capitals	8–2	Edmonton Oilers	29–26–6
February 19	Boston Bruins	4–2	Edmonton Oilers	29–27–6
February 21	Hartford Whalers	4–7	Edmonton Oilers	30–27–6
February 24	Los Angeles Kings	1–4	Edmonton Oilers	31–27–6
February 25	St. Louis Blues	3–5	Edmonton Oilers	32–27–6
March 1	Montreal Canadiens	0–3	Edmonton Oilers	33–27–6
March 3	Edmonton Oilers	7–4	Winnipeg Jets	34–27–6
March 5	Edmonton Oilers	4–2	Pittsburgh Penguins	35–27–6
March 7	Edmonton Oilers	4–4	Philadelphia Flyers	35–27–7
March 8	Edmonton Oilers	3–7	Hartford Whalers	35–28–7
March 11	Calgary Flames	5–5	Edmonton Oilers	35–28–8
March 12	Los Angeles Kings	6–3	Edmonton Oilers	35–29–8
March 15	Detroit Red Wings	8–6	Edmonton Oilers	35–30–8
March 16	Edmonton Oilers	0–3	Vancouver Canucks	35–31–8
March 19	New York Islanders	2–3	Edmonton Oilers	36–31–8
March 21	Los Angeles Kings	4–3	Edmonton Oilers	36–32–8
March 23	Winnipeg Jets	4–5	Edmonton Oilers	37–32–8
March 25	Edmonton Oilers	2–4	Los Angeles Kings	37–33–8
March 29	Edmonton Oilers	5–2	Vancouver Canucks	38–33–8
April 2	Edmonton Oilers	2–4	Calgary Flames	38–34–8
