Rank	Player	Nation	Games	Goals	Years
1	Nick Rimando	USA	201	0	2007-Present
2	Andy Williams	JAM	189	14	2005-2011
3	Kyle Beckerman	USA	177	21	2007-Present
4	Chris Wingert	USA	174	1	2007-Present
5	Nat Borchers	USA	173	9	2008-Present
6	Javier Morales	ARG	155	28	2007-Present
7	Tony Beltran	USA	135	0	2008-Present
8	Ned Grabavoy	USA	126	8	2009-Present
9	Fabián Espíndola	ARG	125	35	2007-2012
10	Robbie Findley	USA	121	35	2007-2010, 2013-Present
11	Jámison Olave	COL	120	10	2008-2012
12	Will Johnson	CAN	114	9	2008-2012
