Date and time ( UTC )	Rocket	Site	Orbit	Function	Decay ( UTC )
6 January, 12:15 UTC	Soyuz-U (R-7 11A511U)	Plesetsk	LEO	Reconnaissance	20 January 1981
9 January, 14:57 UTC	Molniya-M / ML (R-7 8K78M/ML)	LC-41/1, Plesetsk	Molniya	Comsat	3 July 1999
10 January, 18:22 UTC	Nike Tomahawk	Siple Station , Ellsworth Island	Sub-orbital	Ionospheric research	10 January 1981
14 January, 22:00 UTC	TT-500A	LA-T, Tanegashima	Sub-orbital	Test rocket	14 January 1981
16 January, 09:00 UTC	Kosmos-3M (R-14 11K65M)	LC-132/1, Plesetsk	LEO	Radar calibration	Still in orbit
16 January, 12:00 UTC	Soyuz-U (R-7 11A511U)	Plesetsk	LEO	Reconnaissance	28 January 1981
19 January, 03:37 UTC	Black Brant VB	Fort Churchill	Sub-orbital	Aeronomy research	19 January 1981
20 January, 04:50 UTC	Astrobee-F	White Sands	Sub-orbital	Ultraviolet astronomy	20 January 1981
20 January, 11:00 UTC	Soyuz-U (R-7 11A511U)	LC-31/6 , Baikonur	LEO	Reconnaissance	17 February 1981
21 January, 00:25 UTC	Black Brant 8C	White Sands	Sub-orbital	Aeronomy research	21 January 1981
21 January, 08:29 UTC	Kosmos-3M (R-14 11K65M)	LC-132/1, Plesetsk	LEO	ASAT target	Still in orbit
21 January, 21:46 UTC	S-310	Kagoshima	Sub-orbital	Aeronomy research	21 January 1981
23 January, 11:20 UTC	Tsyklon-3 (R-36 11K68)	LC-32/1, Plesetsk	Intended: MEO	Geodetics	23 January 1981
24 January, 14:18 UTC	Soyuz-U (R-7 11A511U)	LC-1/5 , Baikonur	LEO , docked to Salyut 6	Resupply Salyut 6	20 March 1981, 16:58:58 UTC
26 January, 07:20 UTC	Black Brant IVB	Fort Churchill	Sub-orbital	l Aurora research	26 January 1981
27 January, 14:58 UTC	Vostok-2M (R-7 8A92M)	Plesetsk	LEO	SIGINT satellite	Still in orbit
29 January, 04:12 UTC	Astrobee-F	Fort Churchill	Sub-orbital	Plasma research	29 January 1981
29 January, 17:00 UTC	S-520	LA-K, Kagoshima	Sub-orbital	Ionospheric /tether research	29 January 1981
30 January, 16:27 UTC	Molniya-M / ML (R-7 8K78M/ML)	Plesetsk	Molniya	Comsat	Still in orbit
2 February, 02:19 UTC	Tsyklon-2 (R-36 11K69)	LC-90, Baikonur	LEO	ASAT test	2 February 1981
4 February, 01:10 UTC	Aries	LC-36, White Sands	Sub-orbital	ABM technology development	4 February 1981
4 February, 05:00 UTC	Centaure	Thumba	Sub-orbital	Ionosphere research	4 February 1981
4 February, 15:00 UTC	Pershing 1A	LC-16 , Cape Canaveral	Sub-orbital	Operational test flight	4 February 1981
4 February, 15:33 UTC	Pershing 1A	LC-16 , Cape Canaveral	Sub-orbital	Operational test flight	4 February 1981
4 February, 15:53 UTC	Pershing 1A	LC-16 , Cape Canaveral	Sub-orbital	Operational test flight	4 February 1981
5 February, 11:25 UTC	Sergeant	Poker Flat	Sub-orbital	l Aurora research	5 February 1981
6 February, 08:00 UTC	Kosmos-3M (R-14 11K65M)	LC-132/1, Plesetsk	LEO	Technology development	7 July 1982
7 February, 20:13:45 UTC	Petrel 2	Esrange	Sub-orbital	Aeronomy research	7 February 1981
7 February, 20:30 UTC	Nike Orion	Kiruna	Sub-orbital	Aeronomy research	7 February 1981
9 February	Minuteman III	LF-08, Vandenberg AFB	Sub-orbital	ICBM test	9 February 1981
9 February	Minuteman III	LF-09, Vandenberg AFB	Sub-orbital	ICBM test	9 February 1981
11 February, 08:30 UTC	N-II	LA-N, Tanegashima	MEO	Test carrier rocket/technology development	Still in orbit
12 February, 05:27 UTC	Centaure 2B	Thumba	Sub-orbital	Ionosphere research	12 February 1981
12 February, 18:21 UTC	Kosmos-3M (R-14 11K65M)	LC-132/1, Plesetsk	LEO	Navigation	Still in orbit
13 February, 11:15 UTC	Soyuz-U (R-7 11A511U)	Plesetsk	LEO	Reconnaissance satellite	27 February 1981
13 February, 17:15 UTC	Black Brant 8C	LC-36, White Sands	Sub-orbital	Solar research	13 February 1981
17 February, 17:15 UTC	Pershing 1A	LC-16 , Cape Canaveral	Sub-orbital	Operational test flight	17 February 1981
17 February, 17:51 UTC	Pershing 1A	LC-16 , Cape Canaveral	Sub-orbital	Operational test flight	17 February 1981
17 February, 19:17 UTC	Pershing 1A	LC-16 , Cape Canaveral	Sub-orbital	Operational test flight	17 February 1981
18 February, 09:00 UTC	Soyuz-U (R-7 11A511U)	LC-31/6 , Baikonur	LEO	Reconnaissance	13 March 1981
18 February	INTA-300	El Arenosillo	Sub-orbital	Aeronomy research	18 February 1981
18 February	Minuteman IB	LF-06, Vandenberg AFB	Sub-orbital	Test re-entry vehicle	18 February 1981
19 February, 10:00 UTC	Molniya-M / 2BL (R-7 8K78M/2BL)	LC-16/2, Plesetsk	Molniya	Missile early warning	Still in orbit
21 February, 00:30 UTC	Mu-3 S	LA-M, Kagoshima	LEO	Solar research	11 July 1991
21 February, 23:23 UTC	Atlas-Centaur SLV-3D	LC-36A , Cape Canavaral	GSO	Comsat	Still in orbit
21 February	Minuteman III	LF-26, Vandenberg AFB	Sub-orbital	ICBM test	21 February 1981
25 February, 17:20 UTC	Sergeant- Hydac	Poker Flat	Sub-orbital	Test flight	25 February 1981
28 February, 19:15 UTC	Titan 24B / Agena-D	SLC-4W , Vandenberg AFB	LEO	Reconnaissance	20 June 1981
1 March, 09:20 UTC	OTRAG	Sabha	Sub-orbital	Test flight	1 March 1981
