Round	Pick #	Overall	Name	Position	College
1	29	29	R. Jay Soward	Wide Receiver	USC
2	29	60	Brad Meester	Center	Northern Iowa
3	30	92	T. J. Slaughter	Linebacker	Southern Mississippi
4	29	123	Joey Chustz	Offensive Tackle	Louisiana Tech
5	30	159	Kiwaukee Thomas	Cornerback	Georgia Southern
6	30	196	Emanuel Smith	Wide Receiver	Arkansas
7	30	236	Erik Olson	Defensive Back	Colorado State
7	35	241	Rob Meier	Defensive Tackle	Washington State
7	37	243	Shyrone Stith	Running Back	Virginia Tech
7	39	245	Danny Clark	Linebacker	Illinois
7	41	247	Mark Baniewicz	Offensive Tackle	Syracuse
