Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Sep 12, 1971	Southern Open Invitational	–13 (65-67-68-67=267)	5 strokes	Deane Beman
Nov 26, 1972	Sea Pines Heritage Classic	–4 (71-65-75-70=281)	1 stroke	Tom Weiskopf
Jun 17, 1973	U.S. Open	–5 (71-69-76-63=279)	1 stroke	John Schlee
Jan 6, 1974	Bing Crosby National Pro-Am	–8 (68-70-70=208)	4 strokes	Grier Jones
Jan 13, 1974	Phoenix Open	–13 (69-69-66-67=271)	1 stroke	Lanny Wadkins
Jan 20, 1974	Dean Martin Tucson Open	–16 (62-71-71-68=272)	3 strokes	Ben Crenshaw
Mar 31, 1974	Sea Pines Heritage Classic	–8 (67-67-72-70=276)	3 strokes	Gibby Gilbert
Apr 28, 1974	Tournament of Champions	–8 (75-69-67-69=280)	1 stroke	Buddy Allin , John Mahaffey
Aug 25, 1974	Westchester Classic	–19 (69-68-65-67=269)	2 strokes	Don Bies
Sep 15, 1974	World Open Golf Championship	–3 (73-63-73-72=281)	Playoff	Frank Beard , Bob Murphy , Jack Nicklaus
Sep 29, 1974	Kaiser International Open Invitational	–17 (69-69-67-66=271)	8 strokes	Billy Casper , Lee Trevino
Jan 12, 1975	Phoenix Open	–24 (67-61-68-64=260)	14 strokes	Jerry Heard
Jan 19, 1975	Dean Martin Tucson Open	–25 (66-69-67-61=263)	9 strokes	John Mahaffey
Feb 9, 1975	Bob Hope Desert Classic	–21 (64-69-72-66-68=339)	3 strokes	Bob Murphy
Oct 5, 1975	Kaiser International Open Invitational	–16 (68-67-68-69=272)	3 strokes	Rod Curl
Jan 11, 1976	NBC Tucson Open	–14 (70-69-67-68=274)	3 strokes	Howard Twitty
Feb 8, 1976	Bob Hope Desert Classic	–16 (71-69-73-68-63=344)	3 strokes	Rik Massengale
Jul 10, 1976	The Open Championship	–9 (72-68-73-66=279)	6 strokes	Seve Ballesteros , Jack Nicklaus
Mar 9, 1980	Jackie Gleason-Inverrary Classic	–14 (70-68-66-70=274)	2 strokes	Charles Coody , Bruce Lietzke
Jan 11, 1981	Joe Garagiola-Tucson Open	–15 (66-64-70-65=265)	2 strokes	Lon Hinkle
Feb 22, 1981	Glen Campbell-Los Angeles Open	–14 (66-69-67-68=270)	2 strokes	Tom Weiskopf
Feb 21, 1982	Wickes-Andy Williams San Diego Open	–18 (65-67-68-70=270)	1 stroke	Jack Nicklaus
Mar 6, 1983	Honda Inverrary Classic	–10 (68-73-68-69=278)	2 strokes	Jack Nicklaus
Feb 1, 1987	AT&T Pebble Beach National Pro-Am	–10 (72-72-68-66=278)	1 stroke	Payne Stewart
Feb 6, 1994	AT&T Pebble Beach National Pro-Am	–7 (68-72-67-74=281)	1 stroke	Jeff Maggert , Corey Pavin , Tom Watson
