Year	Film	Role	Director	Studio
1932	Night After Night	Maudie Triplett	Archie Mayo	Paramount Pictures
1933	She Done Him Wrong	Lady Lou	Lowell Sherman	Paramount Pictures
1933	I'm No Angel	Tira	Wesley Ruggles	Paramount Pictures
1934	Belle of the Nineties	Ruby Carter	Leo McCarey	Paramount Pictures
1935	Goin' to Town	Cleo Borden	Alexander Hall	Paramount Pictures
1936	Klondike Annie	The Frisco Doll/Rose Carlton/Sister Annie Alden	Raoul Walsh	Paramount Pictures
1936	Go West, Young Man	Mavis Arden	Henry Hathaway	Paramount Pictures
1937	Every Day's a Holiday	Peaches O'Day	A. Edward Sutherland	Paramount Pictures
1940	My Little Chickadee	Flower Belle Lee	Edward F. Cline	Universal Pictures
1943	The Heat's On	Fay Lawrence	Gregory Ratoff	Columbia Pictures
1970	Myra Breckinridge	Leticia Van Allen	Michael Sarne	20th Century Fox
1978	Sextette	Marlo Manners/Lady Barrington	Ken Hughes	Crown International Pictures
