Year	Chassis	Engine(s)	Tyres	Points
1970	March 701	Ford Cosworth DFV	F	48*
1971	March 711 March 701	Alfa Romeo 3.0 V8 Ford Cosworth DFV	F	33 (34)*
1972	March 721 March 721X March 721G	Ford Cosworth DFV	G	15*
1973	March 721G March 731	Ford Cosworth DFV	G	14*
1974	March 741	Ford Cosworth DFV	G	6
1975	March 751 March 741	Ford Cosworth DFV	G	7.5*
1976	March 761	Ford Cosworth DFV	G	19*
1977	March 761 B March 771	Ford Cosworth DFV	G	0
1981	March 811	Ford Cosworth DFV	M A	0
1982	March 821	Ford Cosworth DFV	A P	0
1987	March 871	Ford Cosworth DFZ	G	1
1988	March 881	Judd V8	G	22
1989	March CG891 March 881	Judd V8	G	4
1992	March CG991	Ilmor V10	G	3
