Year	Stage	Category	Start	Finish	Leader at the summit
2013	9	1	Saint-Girons	Bagnères-de-Bigorre	Thomas De Gendt ( BEL )
2012	17	Not categorised	Bagnères-de-Luchon	Peyragudes	Alejandro Valverde ( ESP )
2012	16	1	Pau	Bagnères-de-Luchon	Thomas Voeckler ( FRA )
2010	16	1	Bagnères-de-Luchon	Pau	Sylvester Szmyd ( POL )
2008	9	1	Toulouse	Bagnères-de-Bigorre	Sebastian Lang ( DEU )
2007	15	1	Foix	Loudenvielle	Alexander Vinokourov ( KAZ )
2006	11	1	Tarbes	Val d'Aran - Pla-de-Beret	David de la Fuente ( ESP )
2005	15	1	Lézat-sur-Lèze	Saint-Lary Soulan (Pla d'Adet)	Laurent Brochard ( FRA )
2003	14	1	Saint-Girons	Loudenvielle	Gilberto Simoni ( ITA )
2001	13	1	Foix	Saint-Lary Soulan (Pla d'Adet)	Laurent Jalabert ( FRA )
1999	15	1	Saint-Gaudens	Piau-Engaly	Alberto Elli ( ITA )
1998	10	1	Pau	Bagnères de Luchon	Rodolfo Massi ( ITA )
1995	15	1	Saint-Girons	Cauterets - Crêtes du Lys	Richard Virenque ( FRA )
1994	12	1	Lourdes	Luz-Ardiden	Roberto Torres ( ESP )
1993	16	1	Andorra	Saint-Lary Soulan (Pla d'Adet)	Claudio Chiappucci ( ITA )
1989	10	1	Cauterets	Superbagnères	Robert Millar ( GBR )
1988	15	1	Saint-Girons	Luz-Ardiden	Steven Rooks ( NED )
1986	13	1	Pau	Superbagnères	Bernard Hinault ( FRA )
1983	10	1	Pau	Bagnères de Luchon	Robert Millar ( GBR )
1981	6	1	Saint-Gaudens	Saint-Lary Soulan (Pla d'Adet)	Bernard Hinault ( FRA )
1980	13	1	Pau	Bagnères de Luchon	Raymond Martin ( FRA )
1979	3	2	Bagnères de Luchon	Pau	Bernard Hinault ( FRA )
1976	14	1	Saint-Gaudens	Saint-Lary Soulan (Pla d'Adet)	Luis Ocana ( ESP )
1974	16	2	La Seu d'Urgell	Saint-Lary Soulan (Pla d'Adet)	Vicente Lopez-Carril ( ESP )
1972	8	2	Pau	Bagnères de Luchon	Lucien Van Impe ( BEL )
1971	16a	2	Bagnères de Luchon	Gourette - Eaux-Bonnes	Lucien Van Impe ( BEL )
1970	18	2	Saint-Gaudens	La Mongie	Raymond Delisle ( FRA )
1969	17	2	La Mongie	Mourenx	Joaquim Galera ( ESP )
1964	16	2	Bagnères de Luchon	Pau	Julio Jiménez ( ESP )
1963	11	2	Bagnères-de-Bigorre	Bagnères de Luchon	Federico Bahamontes ( ESP )
1962	12	2	Pau	Saint-Gaudens	Federico Bahamontes ( ESP )
1961	17	2	Bagnères de Luchon	Pau	Imerio Massignan ( ITA )
1960	11	1	Pau	Bagnères de Luchon	Kurt Gimmi ( SUI )
1959	11	1	Bagnères-de-Bigorre	Saint-Gaudens	Valentin Huot ( FRA )
1958	14	1	Pau	Bagnères de Luchon	Federico Bahamontes ( ESP )
1956	12	Not categorised	Pau	Bagnères de Luchon	Jean-Pierre Schmitz ( LUX )
1955	17	2	Toulouse	Saint-Gaudens	Charly Gaul ( LUX )
1954	12	2	Pau	Bagnères de Luchon	Federico Bahamontes ( ESP )
1953	11	2	Cauterets	Bagnères de Luchon	Jean Robic ( FRA )
1952	17	2	Toulouse	Bagnères-de-Bigorre	Antonio Gelabert ( ESP )
1951	14	2	Tarbes	Bagnères de Luchon	Fausto Coppi ( ITA )
1949	11	2	Pau	Bagnères de Luchon	Jean Robic ( FRA )
1948	8	2	Lourdes	Toulouse	Jean Robic ( FRA )
1947	15	1	Bagnères de Luchon	Pau	Jean Robic ( FRA )
