Area	Name	Zone	Group(s)	Parties	Max People	Camp Type
AA9	Badger	Primitive	1	1	17	A/L
AU9	Blacktail Canyon	Wild	1	2	12	A/L
BN9	Boucher	Primitive	1	2	23	A/L
LB9	Boysag	Wild	1	2	12	A/L
LK9	Burnt Point	Wild	1	2	12	A/L
SA9	Cape Final	Threshold	0	1	6	D/S
SA9	Cape Solitude	Primitive	1	2	23	A/L
BC9	Cardenas	Primitive	1	2	23	A/L
SB9	Cedar Mountain	Threshold	2	2	34	A/L
AJ9	Cheyava	Wild	1	2	12	A/L
AF9	Chuar	Primitive	1	3	29	A/L
AK9	Clear Creek	Threshold	1	3	29	A/L
CBG	Corridor-Bright Angel	Corridor	2	31	90	D/G
CCG	Corridor-Cottonwood (Summer)	Corridor	1	6	40	D/G
CCG	Corridor-Cottonwood (Winter)	Corridor	1	1	8	D/G
CIG	Corridor-Indian Garden	Corridor	1	15	50	D/G
BG9	Cottonwood Creek	Primitive	1	2	23	A/L
BJ9	Cremation	Primitive	1	2	23	A/L
AX9	Deer Creek	Primitive	1	1	17	D/S
LG9	Diamond Creek	Wild	1	2	12	A/L
SF9 *	Eminence Break	Primitive	1	1	17	A/L
AY9	Esplanade	Primitive	1	2	23	A/L
AZ9	Fishtail	Wild	1	2	12	A/L
BS9	Fossil	Wild	1	1	1	A/L
BR9	Garnet	Primitive	1	2	23	A/L
LM9	Grand Wash Cliffs	Primitive	1	2	12	A/L
BH9	Grapevine	Primitive	1	2	23	A/L
AL9	Greenland Springs	Wild	1	2	12	A/L
BE9	Hance Creek	Primitive	1	2	23	A/L
BM7	Hermit Loop-Hermit Creek	Threshold	1	3	29	D/S
BM8	Hermit Loop-Hermit Rapids	Threshold	1	1	17	D/S
BL4	Hermit Loop-Horn Creek	Threshold	0	1	6	D/S
BL5	Hermit Loop-Salt Creek	Threshold	0	1	6	D/S
BL6	Hermit Loop-Cedar Creek	Threshold	0	1	6	D/S
BL7	Hermit Loop-Monument	Threshold	1	3	29	D/S
BL8	Hermit Loop-Granite Rpaids	Threshold	1	2	23	D/S
BL9	Horseshoe Mesa	Threshold	2	3	40	D/S
SI9 *	Jackass	Primitive	1	1	17	A/L
LA9	Kanab Creek	Primitive	1	2	23	A/L
NK9	Kanab Point	Primitive	1	3	29	A/L
NC9	Ken Patrick	Primitive	1	2	12	A/L
NN9	Lava	Threshold	1	1	17	A/L
AE9	Nankwoeap	Primitive	1	2	23	A/L
BU9	National	Wild	1	2	12	A/L
AS9	North Bass	Primitive	1	1	17	A/L
BT9	Olo	Wild	1	2	12	A/L
NG9	Outlet	Primitive	1	2	23	A/L
BA9 *	Palisades	Primitive	1	2	23	A/L
LE9	Parashant	Wild	1	2	12	A/L
SE9	Pasture Wash	Threshold	2	3	40	A/L
AP9	Phantom Creek	Wild	1	2	12	A/L
NH9	Point Sublime	Threshold	2	3	34	D/S
AT9	Powell Plateau	Primitive	1	2	23	A/L
BD9	Red Canyon	Primitive	1	2	23	A/L
AB9	Rider	Primitive	1	1	17	A/L
ND9	Robbers Roost	Primitive	1	3	29	A/L
BP9	Ruby	Primitive	1	2	23	A/L
AD9	Saddle Canyon	Primitive	1	1	17	A/L
SH9 *	Saltwater Wash	Primitive	1	1	17	A/L
AR9	Scorpion Ridge	Wild	1	2	12	A/L
LH9	Separation	Wild	1	2	12	A/L
SG9 *	Shinumo Wash	Primitive	1	1	17	A/L
BO9	Slate	Primitive	1	2	23	A/L
LL9	Snap Point	Primitive	1	2	12	A/L
BQ9	South Bass	Primitive	1	2	12	A/L
AC9	South Canyon	Primitive	1	1	17	A/L
LJ9	Surprise	Wild	1	2	12	A/L
AM9	Surprise Valley	Primitive	1	1	17	A/L
NJ9	Swamp Ridge	Primitive	1	3	29	A/L
BB9	Tanner	Primitive	1	3	29	A/L
AW7	Tapeats-Upper Tapeats	Threshold	1	2	23	D/S
AW8	Tapeats-Lower Tapeats	Threshold	1	1	17	D/S
AV9	Tapeats Amphitheatre	Wild	1	2	12	A/L
LC9	The Dome	Primitive	1	2	12	A/L
NB9	Thompson Canyon	Primitive	1	3	29	A/L
NM9	Toroweap Valley	Threshold	1	2	23	A/L
LF9	Trail Canyon	Wild	1	2	12	A/L
AQ9	Trinity Creek	Wild	1	2	12	A/L
NL9	Tuckup Point	Primitive	1	3	29	A/L
AG9	Unkar	Wild	1	2	12	A/L
AH9	Vishnu	Wild	1	1	11	A/L
NA0	Walhalla Plateau	Primitive	1	3	29	A/L
LI9	Whitmore	Threshold	1	1	17	A/L
NF9	Widforss	Threshold	1	2	23	A/L
