Name	Model	Park	Country	Opened
Tigre de Sibérie	Custom Coaster	Le Pal	France	1990
Crazy Mouse	Spinning Coaster	Hirakata Park	Japan	1998
Dizzy Mouse	Spinning Coaster	Wurstelprater	Austria	1998
Spinning Coaster	Spinning Coaster	Yokohama Cosmoworld	Japan	1998
Wall's Twister Ride	Spinning Coaster	West Midland Safari Park	United Kingdom	1998
Spin Mouse	Spinning Coaster	Mitsui Greenland	Japan	1998
Crazy Mouse	Spinning Coaster	Steel Pier	United States	1999
Ratón Loco	Spinning Coaster	La Feria Chapultepec Magico	Mexico	1999
Exterminator	Spinning Coaster	Kennywood	United States	1999
Fantasy Mouse	Spinning Coaster	Fantasy Island	United Kingdom	2000
Crazy Mouse	Spinning Coaster	Brighton Pier	United Kingdom	2000
Twister	Spinning Coaster	Lightwater Valley	United Kingdom	2001
Wild Mouse	Spinning Coaster	Magic World	Italy	2001
Flagermusen	Spinning Coaster	Fårup Sommerland	Denmark	2001
Crazy Mouse	Spinning Coaster	Allou Fun Park	Greece	2002
Papillons d'Alice	Junior Spinning Coaster	Jardin d'Acclimatation	France	2002
Primeval Whirl	Spinning Coaster	Disney's Animal Kingdom	United States	2002
Magic Mouse	Spinning Coaster	Fantasia Luna Park	Greece	2003
Crazy Mouse	Spinning Coaster	Steve Vander Vorst Rides	United States	2003
Ragondingue	Spinning Coaster	Bagatelle	France	2006
Bukkerittet	Spinning Coaster	Kongeparken	Norway	2008
