Village	Area km²	Population (2000 census )	Region	Pop. Density
Agana Heights	2.68	3940	Central	1470
Agat	27.19	5656	South	210
Asan-Maina	14.35	2090	Central	150
Barrigada	21.96	8652	Central	390
Chalan-Pago-Ordot	14.73	5923	Central	400
Dededo	79.16	42980	North	540
Hagåtña	2.33	1100	Central	470
Inarajan	48.82	3052	South	60
Mangilao	26.45	13313	Central	500
Merizo	16.39	2152	South	130
Mongmong-Toto-Maite	4.79	5845	Central	1220
Piti	19.26	1666	Central	90
Santa Rita	41.89	7500	South	180
Sinajana	2.20	2853	Central	1300
Talofofo	45.81	3215	South	70
Tamuning (including Tumon )	14.66	18012	North	1230
Umatac	16.63	887	South	50
Yigo	91.71	19474	North	210
Yona	52.53	6484	South	120
