Game	March	Opponent	Score	Record	Points
63	1	@ Dallas Stars	0–2	33–18–11–1	78
64	4	@ Boston Bruins	3–0	34–18–11–1	80
65	5	New York Islanders	3–4 OT	34–18–11–2	81
66	8	@ Tampa Bay Lightning	3–2 OT	35–18–11–2	83
67	9	Washington Capitals	3–1	36–18–11–2	85
68	12	@ Colorado Avalanche	1–3	36–19–11–2	85
69	13	@ Phoenix Coyotes	4–1	37–19–11–2	87
70	16	Montreal Canadiens	1–1 OT	37–19–12–2	88
71	18	New York Rangers	2–3	37–20–12–2	88
72	19	Boston Bruins	6–2	38–20–12–2	90
73	21	@ Nashville Predators	2–0	39–20–12–2	92
74	23	Los Angeles Kings	2–3 OT	39–20–12–3	93
75	26	Pittsburgh Penguins	3–1	40–20–12–3	95
76	28	@ Ottawa Senators	2–5	40–21–12–3	95
