Rider	Manufacturer	Laps	Time/Retired	Grid
Mattia Pasini	Aprilia	20	40:16.202	5
Hector Barbera	Aprilia	20	+0.557	2
Mika Kallio	KTM	20	+1.029	4
Alex Debon	Aprilia	20	+1.418	1
Yuki Takahashi	Honda	20	+12.944	7
Alvaro Bautista	Aprilia	20	+14.480	3
Karel Abraham	Aprilia	20	+16.721	11
Roberto Locatelli	Gilera	20	+18.987	9
Aleix Espargaro	Aprilia	20	+32.232	8
Hector Faubel	Aprilia	20	+41.102	15
Julian Simon	KTM	20	+41.457	14
Fabrizio Lai	Gilera	20	+41.694	13
Ratthapark Wilairot	Honda	20	+43.192	19
Manuel Poggiali	Gilera	20	+44.228	18
Thomas Luthi	Aprilia	20	+48.760	10
Hiroshi Aoyama	KTM	20	+1:11.031	12
Doni Tata Pradita	Yamaha	20	+2:05.461	23
Alex Baldolini	Aprilia	14	Retirement	17
Lukas Pesek	Aprilia	12	Retirement	16
Marco Simoncelli	Gilera	7	Retirement	6
Imre Toth	Aprilia	4	Retirement	22
Manuel Hernandez	Aprilia	0	Retirement	21
Eugene Laverty	Aprilia	0	Retirement	20
