Category	Film	Director(s)	Producer(s)	Writer(s)
2006 (60th)	2006 (60th)	2006 (60th)	2006 (60th)	2006 (60th)
Best Short Film	Do Not Erase	Asitha Ameresekere	Asitha Ameresekere	Asitha Ameresekere
Best Short Film	Care	Corinna Faith	Rachel Bailey , Tracy Bass	Corinna Faith
Best Short Film	Cubs	Tom Harper	Lisa Williams	Tom Harper
Best Short Film	Hikikomori	Paul Wright	Karley Duffy	Paul Wright
Best Short Film	Kissing, Tickling and Being Bored	Jim McRoberts	David Smith	Jim McRoberts
2005 (59th)	2005 (59th)	2005 (59th)	2005 (59th)	2005 (59th)
Best Short Film	Antonio's Breakfast	Daniel Mulloy	Howard Stogdon , Amber Templemore-Finlayson	Daniel Mulloy
Best Short Film	Call Register	Ed Roe	Kit Hawkins , Adam Tudhope	Ed Roe
Best Short Film	Heavy Metal Drummer	Toby MacDonald , Luke Morris	Toby MacDonald , Luke Morris , Amanda Boyle	Toby MacDonald , Luke Morris
Best Short Film	Heydar, An Afghan in Tehran	Babak Jalali	Homayoun Assadian	Babak Jalali
Best Short Film	Lucky	Avie Luthra	Bex Hopkins	Avie Luthra
2004 (58th)	2004 (58th)	2004 (58th)	2004 (58th)	2004 (58th)
Best Short Film	The Banker	Hattie Dalton	Kelly Broad	Hattie Dalton
Best Short Film	Can't Stop Breathing	Amy Neil	Ravinder Basra	Amy Neil
Best Short Film	Elephant Boy	Rene Mohandas	Durdana Shaikh	Rene Mohandas
Best Short Film	Knitting a Love Song	Debbie Ballin , Annie Watson	Debbie Ballin , Annie Watson	Debbie Ballin
Best Short Film	Six Shooter	Martin McDonagh	Mia Bays , Kenton Allen	Martin McDonagh
2003 (57th)	2003 (57th)	2003 (57th)	2003 (57th)	2003 (57th)
Best Short Film	Brown Paper Bag	Michael Baig Clifford	Natasha Carlish , Mark Leveson	Geoff Thompson
Best Short Film	Bye Child	Bernard Maclaverty	Andrew Bonner	Bernard Maclaverty
Best Short Film	Nits	Harry Wootliff	George Isaac	Harry Wootliff
Best Short Film	Sea Monsters	Mark Walker	Matt Delargy	Raphael Smith
Best Short Film	Talking with Angels	Yousaf Ali Khan	Michael Knowles , Janey de Nordwall	Yousaf Ali Khan
2002 (56th)	2002 (56th)	2002 (56th)	2002 (56th)	2002 (56th)
Best Short Film	My Wrongs #8245–8249 & 117	Chris Morris	Mark Herbert	Chris Morris
Best Short Film	Bouncer	Michael Baig Clifford	Natasha Carlish , Sophie Morgan	Geoff Thompson
Best Short Film	Candy Bar Kid	Shah Khan	Benjamin Johns	Shah Khan
Best Short Film	Good Night	Sun-Young Chun	Yoav Factor	Sun-Young Chun
Best Short Film	The Most Beautiful Man in the World	Alicia Duffy	Hugh Welchman	Alicia Duffy
Best Short Film	Rank	David Yates	Andrew O'Connell	Robbie McCallum
2001 (55th)	2001 (55th)	2001 (55th)	2001 (55th)	2001 (55th)
Best Short Film	About a Girl	Brian Percival	Janey de Nordwall	Julie Rutterford
Best Short Film	Inferno	Paul Kousoulides	Teun Hilte	Sharat Sardana
Best Short Film	The Red Peppers	Dominic Santana	Dominic Santana , Lee Santana	Lee Santana
Best Short Film	Skin Deep	Yousaf Ali Khan	Andy Porter	Yousaf Ali Khan
Best Short Film	Tattoo	Jules Williamson	Arabella Page Croft , Sara Putt	Jemma Field
2000 (54th)	2000 (54th)	2000 (54th)	2000 (54th)	2000 (54th)
Best Short Film	Shadowscan	Tinge Krishnan	Gary Holding , Justine Leahy	Tinge Krishnan
Best Short Film	Going Down	Tom Shankland	Soledad Gatti-Pascual	Jane Harris
Best Short Film	The Last Post	Dominic Santana	Lee Santana	Lee Santana
Best Short Film	Sweet	James Pilkington	Rob Mercer	James Pilkington
