Res.	Record	Opponent	Method	Round	Time	Location
Win	19-10 (1)	Adrian Rodrigues	Submission (neck crank)	1	4:50	San Jose, Costa Rica
Loss	18-10 (1)	Ronys Torres	TKO (punches)	1	0:22	Amazonas (Brazilian state) , Brazil
Loss	18-9 (1)	Lim Hyun-Gyu	TKO (punches)	1	N/A	Mangilao, Guam
Loss	18-8 (1)	Aloisio Barros	TKO (doctor stoppage)	3	1:27	Luxembourg City , Luxembourg
Loss	18-7 (1)	Yoshiyuki Yoshida	TKO (punches)	1	N/A	Palavas-les-Flots , Herault , France
Loss	18-6 (1)	Zorobabel Moreira	Decision (unanimous)	3	5:00	Bangkok , Thailand
NC	18-5 (1)	Hermes França	NC (decision overturned by promoter)	3	5:00	Cartago , Costa Rica
Win	18-5	Steve Berger	TKO (punches)	2	1:16	Laval, Quebec , Canada
Win	17-5	Randall Jimenez	Submission (rear-naked choke)	2	2:50	Tamarindo , Costa Rica
Win	16-5	Rudier Fuentes	Submission (armbar)	2	4:20	Guanacaste , Costa Rica
Win	15-5	Rogelio Zuniga	Submission (armbar)	1	2:12	Guanacaste , Costa Rica
Win	14-5	Randall Jimenez	TKO (retirement)	1	5:00	Tamarindo , Costa Rica
Loss	13-5	Daisuke Nakamura	Decision (unanimous)	3	5:00	Kansas City, Missouri , United States
Win	13-4	Jeffry Lopez	Decision (unanimous)	3	5:00	Costa Rica
Win	12-4	Graydon Tannas	KO (punches)	3	0:18	Winnipeg, Manitoba , Canada
Win	11-4	Calvett Huzinger	Submission	1	0:55	Newkirk, Oklahoma , United States
Win	10-4	Drew Fickett	KO (punches)	3	2:02	Clinton, Oklahoma , United States
Win	9-4	Elton Brown	Submission (rear-naked choke)	1	3:15	San Pedro, Costa Rica
Win	8-4	Alejandro Solano Rodriguez	Decision (unanimous)	3	5:00	Desamparados Canton , Costa Rica
Win	7-4	Vince Guzman	Submission (rear naked choke)	2	2:05	Palm Springs, California , United States
Win	6-4	Douglas Noear	Submission (strikes)	N/A	N/A	Concho, Oklahoma , United States
Loss	5-4	Pedro Santos	Decision (unanimous)	3	5:00	Rio de Janeiro , Brazil
Loss	5-3	Paulo Thiago	Decision (unanimous)	3	5:00	Rio de Janeiro , Brazil
Win	5-2	Rory McDonell	Decision (unanimous)	3	5:00	Winnipeg, Manitoba , Canada
Win	4-2	Christos Petroutsos	TKO (punches)	1	1:02	Charleroi , Belgium
Loss	3-2	Tommy Truex	Decision (unanimous)	3	5:00	Portland, Oregon , United States
Win	3-1	Mike Neufeld	TKO (punches)	2	N/A	Winnipeg, Manitoba , Canada
Loss	2-1	Pono Pananganan	Decision (split)	3	5	Honolulu, Hawaii , United States
Win	2-0	Will Cunningham	KO (punch)	2	2:49	Sydney , Australia
Win	1-0	Gavin Murie	Submission (armbar)	1	N/A	Australia
