Driver	Constructor	Laps	Time/Retired	Grid
John Watson	Penske - Ford	54	1:30:07.86	2
Jacques Laffite	Ligier - Matra	54	+ 10.79	5
Gunnar Nilsson	Lotus - Ford	54	+ 11.98	4
James Hunt	McLaren - Ford	54	+ 12.44	1
Mario Andretti	Lotus - Ford	54	+ 21.49	9
Ronnie Peterson	March - Ford	54	+ 34.34	3
Jochen Mass	McLaren - Ford	54	+ 59.45	12
Harald Ertl	Hesketh - Ford	53	+1 Lap	20
Henri Pescarolo	Surtees - Ford	52	+2 Laps	22
Brett Lunger	Surtees - Ford	51	Accident	16
Alessandro Pesenti-Rossi	Tyrrell - Ford	51	+3 Laps	23
Lella Lombardi	Brabham - Ford	50	+4 laps	24
Hans Binder	Ensign - Ford	47	Throttle	19
Loris Kessel	Brabham - Ford	44	Not Classified	25
Vittorio Brambilla	March - Ford	43	Accident	7
Emerson Fittipaldi	Fittipaldi - Ford	43	Accident	17
Carlos Pace	Brabham - Alfa Romeo	40	Accident	18
Jean-Pierre Jarier	Shadow - Ford	40	Fuel Pump	8
Alan Jones	Surtees - Ford	30	Accident	15
Hans Joachim Stuck	March - Ford	26	Fuel System	11
Patrick Depailler	Tyrrell - Ford	24	Suspension	13
Arturo Merzario	Wolf-Williams - Ford	17	Accident	21
Tom Pryce	Shadow - Ford	14	Brakes	6
Jody Scheckter	Tyrrell - Ford	14	Suspension	10
Carlos Reutemann	Brabham - Alfa Romeo	0	Clutch	14
