Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	UD Las Palmas	38	55+17	22	11	5	56	37	+19
2	Cádiz CF	38	49+11	18	13	7	59	28	+31
3	Celta de Vigo	38	48+10	20	8	10	63	40	+23
4	CE Sabadell FC	38	42+4	15	12	11	49	43	+6
5	Castilla CF	38	40+2	14	12	12	49	48	+1
6	CD Logroñés	38	40+2	18	4	16	51	46	+5
7	RCD Mallorca	38	40+2	15	10	13	46	39	+7
8	Cartagena FC	38	37-1	12	13	13	41	37	+4
9	Barcelona Atlètic	38	37-1	13	11	14	36	42	-6
10	Recreativo de Huelva	38	36-2	11	14	13	34	42	-8
11	CD Tenerife	38	36-2	12	12	14	48	43	+5
12	CD Castellón	38	36-2	14	8	16	51	51	0
13	Deportivo de La Coruña	38	36-2	13	10	15	52	60	-8
14	Atlético Madrileño	38	35-3	12	11	15	37	45	-8
15	Bilbao Athletic	38	34-4	12	10	16	44	52	-8
16	Real Oviedo	38	34-4	9	16	13	44	45	-1
17	UD Salamanca	38	33-5	12	9	17	39	37	+2
18	Granada CF	38	33-5	12	9	17	32	46	-14
19	CD Calvo Sotelo	38	30-8	10	10	18	34	48	-14
20	Lorca Deportiva	38	29-9	10	9	19	23	59	-36
