Province	Registered voters	People voted	Valid votes	Invalid votes	Yes	Yes (%)	No	No (%)	Turnout (%)
Adana	1386290	1009435	992202	17233	434066	43.75	558136	56.25	72.82
Adıyaman	358247	292354	287491	4863	231222	80.43	56269	19.57	81.61
Afyonkarahisar	483583	421921	411452	10469	270258	65.68	141194	34.32	87.25
Ağrı	274121	154668	148624	6044	142311	95.75	6313	4.25	56.42
Aksaray	245874	194680	190600	4080	146102	76.65	44498	23.35	79.18
Amasya	233005	205982	202159	3823	118637	58.68	83522	41.32	88.4
Ankara	3341633	2669076	2632720	36356	1423474	54.07	1209246	45.93	79.87
Antalya	1354787	1046905	1027278	19627	444564	43.28	582714	56.72	77.27
Ardahan	69508	53635	51835	1800	28510	55.00	23325	45.00	77.16
Artvin	122503	96838	94707	2131	47164	49.80	47543	50.20	79.05
Aydın	719726	598062	585485	12577	209820	35.84	375665	64.16	83.1
Balıkesir	859259	735639	722086	13553	348418	48.25	373668	51.75	85.61
Bartın	140105	121146	116891	4255	64713	55.36	52178	44.64	86.47
Batman	260951	105987	99500	6487	94218	94.69	5282	5.31	40.62
Bayburt	48973	41432	40777	655	34687	85.07	6090	14.93	84.6
Bilecik	141196	124512	121762	2750	60256	49.49	61506	50.51	88.18
Bingöl	154117	118652	115651	3001	110167	95.26	5484	4.74	76.99
Bitlis	174195	121962	116543	5419	108471	93.07	8072	6.93	70.01
Bolu	198972	172551	169077	3474	110644	65.44	58433	34.56	86.72
Burdur	184987	165187	160711	4476	84511	52.59	76200	47.41	89.3
Bursa	1843820	1517902	1490239	27663	839892	56.36	650347	43.64	82.32
Çanakkale	360770	314284	308723	5561	123800	40.10	184923	59.90	87.11
Çankırı	130511	109633	107527	2106	82272	76.51	25255	23.49	84.0
Çorum	384676	338874	333237	5637	226051	67.83	107186	32.17	88.09
Denizli	665282	575622	562978	12644	260643	46.30	302335	53.70	86.52
Diyarbakır	851241	296245	278871	17374	261916	93.92	16955	6.08	34.8
Düzce	237477	201385	197817	3568	143443	72.51	54374	27.49	84.8
Edirne	296576	254358	249744	4614	66233	26.52	183511	73.48	85.76
Elazığ	374530	302605	296663	5942	242611	81.78	54052	18.22	80.8
Erzincan	143843	123158	121643	1515	77880	64.02	43763	35.98	85.62
Erzurum	474085	379988	373026	6962	324011	86.86	49015	13.14	80.15
Eskişehir	570044	472251	463957	8294	213331	45.98	250626	54.02	82.84
Gaziantep	984683	716358	701112	15246	489706	69.85	211406	30.15	72.75
Giresun	306396	244438	240153	4285	152479	63.49	87674	36.51	79.78
Gümüşhane	88536	67596	66396	1200	52110	78.48	14286	21.52	76.35
Hakkâri	128572	11634	10512	1122	9910	94.27	602	5.73	9.05
Hatay	922012	767414	756763	10651	362011	47.84	394752	52.16	83.23
