Name	Height	Weight	Position	Bats/Throws	Class	Hometown/Highschool
Garrett Deschamp	6–2	195	INF	R/R	JR	Denham Springs, La./Parkview Baptist
Stephen Alemais	6–0	180	INF	S/R	FR	Bronx, N.Y./All Hallows/Elev8 Sports Institute
Briggs Barrios	5–11	195	IF/OF	L/L	SR	Metairie, La./Jesuit
Jake Rogers	6–2	190	C	R/R	FR	Canyon, Texas/Canyon
Randy LeBlanc	6–4	195	RHP	R/R	RS JR	Abita Springs, La./Covington
Tim Yandel	6–1	190	UTL	R/R	SO	Woodstock, Ga./Etowah
Richard Carthon	5–8	195	OF	L/R	SO	Shreveport, La./C.E. Byrd
John Gandolfo	6–0	160	OF	R/R	JR	Franklin Lakes, N.J./Ramapo
Bowen Woodson	6–0	190	IF/OF	R/R	SR	Vicksburg, Miss./Vicksburg
Kyle McKenzie	6–0	170	RHP	L/R	RS SR	Boston, Mass./Thayer Academy
J.P. France	6–1	200	RHP	R/R	FR	Marrero, La./Archibishop Shaw
Max Goodman	5–9	175	OF	L/L	SR	Boca Raton, Fla./American Heritage Delray
Hunter Hope	6–1	205	INF	R/R	FR	Jupiter, Fla./Dwyer
Jake Willsey	5–11	170	INF	R/R	FR	Chestnut Hill, Mass./The Rivers School
Barry Buchowski	6–2	215	C	R/R	FR	Moorestown, N.J./St. Augustine Prep
Brady Wilson	6–2	175	LHP	R/L	SR	Central, La./Parkview Baptist
Corey Merrill	6–4	220	RHP	R/R	FR	Lutcher, La./Lutcher
Grant Brown	6–2	210	OF	R/R	FR	Gulfport, Miss./Gulfport
Zach Flowers	6–2	175	RHP	R/R	FR	Middletown, Del./Salesianium
Alex Massey	6–2	180	RHP	R/R	RS SO	Baton Rouge, Louisiana/Catholic
Emerson Gibbs	6–1	180	RHP	L/R	SO	River Ridge, La./Jesuit
Hunter Lapeyre	6–0	180	IF	R/R	SO	New Orleans, La./Newman
Tyler Mapes	6–1	190	RHP	R/R	RS SR	Plano, Texas/Newman Smith
Sam Bjorngjeld	6–5	210	LHP	L/L	FR	Sugar Land, Texas/W.P. Clements
Ian Gibaut	6–3	215	RHP	R/R	SO	Houston, Texas/Lamar
Matt Horton	6–3	215	RHP	L/R	FR	The Colony, Texas/The Colony
Cameron Burns	6–0	165	C	R/R	SO	Bellaire, Texas/Bellaire
Nick DiMaggio	5–10	165	IF	R/R	SR	Metairie, La./St. Martin's Episcopal
Daniel Rankin	6–2	170	RHP	L/R	SO	Katy, Texas/Seven Lakes
Hunter Williams	5–11	205	INF	R/R	FR	West Monroe, La./West Monroe
Tyler Wilson	5–11	170	INF	R/R	JR	Cedar Park, Texas/Vista Ridge
Andrew Garner	6–3	205	OF/P	R/R	SR	Lake Jackson, Texas/Brazoswood
Matt Braud	5–9	160	UTL	R/R	SO	River Ridge, La./Jesuit
Andrew Culp	6–3	215	RHP	R/R	FR	McLean, Va./Maret
Tyler Zamjahn	6–1	175	RHP	R/R	FR	Harahan, La./Brother Martin
