Constructor	Chassis	Engine	Tyres	Driver	Rounds
Ferrari	312T5	Ferrari 015 3.0 F12	M	Jody Scheckter	All
Ferrari	312T5	Ferrari 015 3.0 F12	M	Gilles Villeneuve	All
Tyrrell - Ford	009 010	Ford Cosworth DFV 3.0 V8	G	Jean-Pierre Jarier	All
Tyrrell - Ford	009 010	Ford Cosworth DFV 3.0 V8	G	Derek Daly	All
Tyrrell - Ford	009 010	Ford Cosworth DFV 3.0 V8	G	Mike Thackwell	13-14
Brabham - Ford	BT49	Ford Cosworth DFV 3.0 V8	G	Nelson Piquet	All
Brabham - Ford	BT49	Ford Cosworth DFV 3.0 V8	G	Ricardo Zunino	1-7
Brabham - Ford	BT49	Ford Cosworth DFV 3.0 V8	G	Héctor Rebaque	8-14
McLaren - Ford	M29B M29C M30	Ford Cosworth DFV 3.0 V8	G	John Watson	All
McLaren - Ford	M29B M29C M30	Ford Cosworth DFV 3.0 V8	G	Alain Prost	1-3, 5-14
McLaren - Ford	M29B M29C M30	Ford Cosworth DFV 3.0 V8	G	Stephen South	4
ATS - Ford	D3 D4	Ford Cosworth DFV 3.0 V8	G	Marc Surer	1-3, 7-14
ATS - Ford	D3 D4	Ford Cosworth DFV 3.0 V8	G	Jan Lammers	4-6
ATS - Ford	D3 D4	Ford Cosworth DFV 3.0 V8	G	Jan Lammers	1-3
ATS - Ford	D3 D4	Ford Cosworth DFV 3.0 V8	G	Harald Ertl	9
Lotus - Ford	81 81B	Ford Cosworth DFV 3.0 V8	G	Mario Andretti	All
Lotus - Ford	81 81B	Ford Cosworth DFV 3.0 V8	G	Elio de Angelis	All
Lotus - Ford	81 81B	Ford Cosworth DFV 3.0 V8	G	Nigel Mansell	10-12
Ensign - Ford	N180	Ford Cosworth DFV 3.0 V8	G	Clay Regazzoni	1-4
Ensign - Ford	N180	Ford Cosworth DFV 3.0 V8	G	Tiff Needell	5-6
Ensign - Ford	N180	Ford Cosworth DFV 3.0 V8	G	Jan Lammers	7-14
Ensign - Ford	N180	Ford Cosworth DFV 3.0 V8	G	Geoff Lees	11-12
Renault	RE20	Renault-Gordini EF1 1.5 V6 t	M	Jean-Pierre Jabouille	1-13
Renault	RE20	Renault-Gordini EF1 1.5 V6 t	M	René Arnoux	All
Shadow - Ford	DN11 DN12	Ford Cosworth DFV 3.0 V8	G	Stefan Johansson	1-2
Shadow - Ford	DN11 DN12	Ford Cosworth DFV 3.0 V8	G	Geoff Lees	3-7
Shadow - Ford	DN11 DN12	Ford Cosworth DFV 3.0 V8	G	Dave Kennedy	1-7
Fittipaldi - Ford	F7 F8	Ford Cosworth DFV 3.0 V8	G	Emerson Fittipaldi	All
Fittipaldi - Ford	F7 F8	Ford Cosworth DFV 3.0 V8	G	Keke Rosberg	All
Alfa Romeo	179	Alfa Romeo 1260 3.0 V12	G	Patrick Depailler	1-8
Alfa Romeo	179	Alfa Romeo 1260 3.0 V12	G	Vittorio Brambilla	11-12
Alfa Romeo	179	Alfa Romeo 1260 3.0 V12	G	Andrea de Cesaris	13-14
Alfa Romeo	179	Alfa Romeo 1260 3.0 V12	G	Bruno Giacomelli	All
Ligier - Ford	JS11/15	Ford Cosworth DFV 3.0 V8	G	Didier Pironi	All
Ligier - Ford	JS11/15	Ford Cosworth DFV 3.0 V8	G	Jacques Laffite	All
Williams - Ford	FW07 FW07B	Ford Cosworth DFV 3.0 V8	G	Alan Jones	All
Williams - Ford	FW07 FW07B	Ford Cosworth DFV 3.0 V8	G	Carlos Reutemann	All
Arrows - Ford	A3	Ford Cosworth DFV 3.0 V8	G	Riccardo Patrese	All
Arrows - Ford	A3	Ford Cosworth DFV 3.0 V8	G	Jochen Mass	1-10, 13-14
Arrows - Ford	A3	Ford Cosworth DFV 3.0 V8	G	Mike Thackwell	11
Arrows - Ford	A3	Ford Cosworth DFV 3.0 V8	G	Manfred Winkelhock	12
Osella - Ford	FA1 FA1B	Ford Cosworth DFV 3.0 V8	G	Eddie Cheever	All
Williams - Ford	FW07	Ford Cosworth DFV 3.0 V8	G	Desiré Wilson	8
Williams - Ford	FW07	Ford Cosworth DFV 3.0 V8	G	Rupert Keegan	8-14
Williams - Ford	FW07	Ford Cosworth DFV 3.0 V8	G	Kevin Cogan	13
Williams - Ford	FW07	Ford Cosworth DFV 3.0 V8	G	Geoff Lees	14
