No. in season	No. in series	Title	Directed by	Written by	Original air date	U.S. viewers (million)
1	105	"Ashes to Ashes"	Kevin Dowling	James Stanley	March 10, 2013	2.38
2	106	"From the Ashes"	Kevin Dowling	Linda Gase	March 17, 2013	2.27
3	107	"Blowback"	Chris Peppe	Bill Rinier	March 24, 2013	2.45
4	108	"Hearth and Home"	John T. Kretchmer	Karen Maser	March 31, 2013	2.12
5	109	"Disarmament"	Brian McNamara	T.J. Brady & Rasheed Newson	April 7, 2013	2.60
6	110	"Losing Battles"	James Bruce	Marlana Hope	April 14, 2013	2.66
7	111	"Brace for Impact"	John T. Kretchmer	Rob Forman	April 21, 2013	2.58
8	112	"Jackpot"	Christine Moore	Lynelle White	April 28, 2013	2.76
9	113	"Blood and Treasure"	Kelli Williams	James Stanley	May 5, 2013	2.73
10	114	"Reckoning"	Brian McNamara	T.J. Brady & Rasheed Newson	May 12, 2013	2.31
11	115	"Adjustment Period"	Debbie Allen	Karen Maser	May 19, 2013	2.58
12	116	"Damaged"	James Bruce	Marlana Hope & Bill Rinier	June 2, 2013	2.84
