Year	Total Region	Rockhampton	Livingstone	Fitzroy	Mt Morgan
1933	44,501	29,369	6,472	4,256	4,404
1947	50,167	34,988	6,452	3,773	4,954
1954	56,315	40,670	7,031	3,554	5,060
1961	59,895	44,128	7,320	3,576	4,871
1966	61,874	46,083	7,780	3,590	4,421
1971	66,160	49,164	9,595	3,434	3,967
1976	69,675	51,133	11,634	3,441	3,467
1981	75,875	52,383	15,711	4,645	3,136
1986	82,142	56,742	15,886	6,406	3,108
1991	89,868	59,394	19,334	8,047	3,093
1996	96,885	59,732	24,796	9,499	2,858
2001	97,728	58,382	27,017	9,553	2,776
2006	102,048	59,943	28,870	10,310	2,925
