Series #	Season #	Title	Directed by	Written by	Original air date	Production Code	U.S. viewers (millions)
48	1	"In The Dark"	Paul Holohan	Hank Steinberg	September23,2004	175301	21.51
49	2	"Thou Shalt Not"	Randall Zisk	Jennifer Levin	October7,2004	175302	21.31
50	3	"Light Years"	Craig Zisk	Greg Walker	October14,2004	175303	19.35
51	4	"Upstairs Downstairs"	Timothy Busfield	Hank Steinberg, Judy Sachs	October21,2004	175304	18.49
52	5	"American Goddess"	Tony Goldwyn	Maria Maggenti	October28,2004	175305	22.06
53	6	"Nickel and Dimed, Part 1"	Martha Mitchell	David Amann	November4,2004	175306	21.77
54	7	"Nickel and Dimed, Part 2"	John F. Showalter	Jan Nash	November11,2004	175307	20.46
55	8	"Doppelgänger II"	Timothy Busfield	Hank Steinberg	November18,2004	175308	19.75
56	9	"Trials"	David Von Ancken	David H. Goodman	November25,2004	175309	19.75
57	10	"Malone v. Malone"	Hank Steinberg	Hank Steinberg	December9,2004	175310	19.49
58	11	"4.0"	Ken Collins	Jennifer Levin	January6,2005	175311	23.76
59	12	"Penitence"	Scott White	Allison Abner	January13,2005	175312	18.77
60	13	"Volcano"	John F. Showalter	Greg Walker	February3,2005	175313	19.33
61	14	"Neither Rain Nor Sleet"	Timothy Busfield	Jan Nash	February10,2005	175314	19.63
62	15	"Party Girl"	Rob Bailey	Amanda Segal Marks	February17,2005	175315	21.01
63	16	"Manhunt"	Jeannot Szwarc	David Amann	February24,2005	175316	21.37
64	17	"Lone Star"	Paul Holohan	David Mongan	March10,2005	175317	23.32
65	18	"Transitions"	Paul Holohan	David H. Goodman	March31,2005	175318	21.27
66	19	"Second Sight"	Jeff T. Thomas	Jan Nash	April14,2005	175319	19.99
67	20	"The Bogie Man"	Jeff T. Thomas	Jan Nash	May4,2005	175320	11.93
68	21	"Off the Tracks"	John F. Showalter	Greg Walker	May5,2005	175321	17.92
69	22	"John Michaels"	Hank Steinberg	Hank Steinberg	May12,2005	175322	18.92
