Position	Club	Played	Wins	Draws	Losses	Goals for	Goals against	Points	Goal Difference
1	FK Vindava Ventspils	30	26	2	2	116	11	80	+105
2	SK Blāzma Rēzekne	30	25	4	1	101	11	79	+90
3	FK Auda Rīga	30	20	5	5	104	31	65	+73
4	FK Metta/LU Rīga	30	18	7	5	67	23	61	+44
5	FK Jelgava	30	16	6	8	70	43	54	+27
6	FK Jaunība-Parex Rīga	30	16	3	11	71	51	51	+20
7	FK Kauguri-PBLC Jūrmala	30	14	4	12	67	55	46	+12
8	RFS/Flaminko Rīga	30	14	2	14	60	62	44	-2
9	FK Zibens/Zemessardze Ilūkste	30	13	3	14	79	68	42	+11
10	Valmieras FK	30	12	4	14	63	59	40	+4
11	FSK Daugava-90 Rīga	30	11	6	13	51	63	39	-12
12	FK Tukums-2000/TSS	30	11	3	16	61	75	36	-14
13	FK Multibanka Rīga	30	6	1	23	45	96	19	-51
14	FK Tranzīts Ventspils	30	4	4	22	29	103	17	-74
15	FK Abuls Smiltene	30	3	2	25	22	163	11	-141
16	FK Ilūkste/BJSS	30	2	2	26	8	93	8	-85
