Number	Name	Height (m)	Date of Birth	Position	Nationality
1	Antonio Ricciardello	188	27/07/86	Libero	Italy
2	Manuel Coscione	188	29/01/80	Setter	Italy
3	Josè Luis Moltò	206	29/06/75	Middle Blocker	Spain
6	Matej Černič	194	13/09/78	Outside Hitter	Italy
9	Francesco Guglielmi	191	22/04/72	Libero	Italy
10	Milos Stoijkovic	200	17/05/87	Outside Hitter	Serbia
11	Luigi Mastrangelo	202	17/08/75	middle Hitter/Blocker	Italy
12	Francesco Corsini	202	01/01/79	Opposite	Italy
13	Valdir Sequeira	195	22/11/81	Outside Hitter	Portugal
14	Davide Quartarone	196	29/04/86	Setter	Italy
15	Bruno Augusto Furtado	196	25/07/78	Outside Hitter	Brazil
18	Israel Rodriguez	194	27/08/81	Outside Hitter	Spain
