Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	13–5 (1)	Evgeny Erokhin	Decision (split)	FEFoMP: Mayor cup 2013	3	5:00	Yuzhno-Sakhalinsk , Russia
Loss	12–5 (1)	Alexander Volkov	Decision (unanimous)	Bellator 75	3	5:00	Hammond, Indiana , United States
Win	12–4 (1)	Kevin Asplund	TKO (doctor stoppage)	Bellator 71	2	5:00	Chester, West Virginia , United States
NC	11–4 (1)	Todd Allee	NC (illegal blow to back of head)	IFL 45: My Bloody Valentine	1	1:18	Auburn Hills, Michigan , United States
Loss	11–4	Eddie Sanchez	Decision (split)	Titan Fighting Championships 20	3	5:00	Kansas City, Kansas , United States
Loss	11–3	Josh Barnett	Submission (arm-triangle choke)	Strikeforce: Overeem vs. Werdum	2	1:17	Dallas, Texas , United States
Win	11–2	Ruben Villareal	Decision (unanimous)	W-1 MMA 6: New Ground	3	5:00	Halifax, Nova Scotia , Canada
Loss	10–2	Alistair Overeem	TKO (punches)	Strikeforce: Heavy Artillery	1	3:40	St. Louis, Missouri , United States
Loss	10–1	Fedor Emelianenko	KO (punch)	Strikeforce: Fedor vs. Rogers	2	1:48	Hoffman Estates, Illinois , United States
Win	10–0	Andrei Arlovski	TKO (punches)	Strikeforce: Lawler vs. Shields	1	0:22	St. Louis, Missouri , United States
Win	9–0	Abongo Humphrey	TKO (knees)	Strikeforce: Shamrock vs. Diaz	2	1:38	San Jose, California , United States
Win	8–0	Jon Murphy	KO (punch)	EliteXC: Primetime	1	1:01	Newark, New Jersey , United States
Win	7–0	James Thompson	KO (punches)	EliteXC: Street Certified	1	2:24	Sunrise, Florida , United States
Win	6–0	Ralph Kelly	Submission (punches)	EliteXC: Renegade	1	1:43	Corpus Christi, Texas , United States
Win	5–0	Josh Melichar	KO (punches)	EFX: Fury	1	0:12	Minneapolis, Minnesota , United States
Win	4–0	Mark Racine	TKO (punches)	EFX: Fury	1	2:35	Minnesota , United States
Win	3–0	Brian Heden	KO (punches)	EFX: Fury	1	1:20	Minneapolis, Minnesota , United States
Win	2–0	Chris Clark	TKO (punches)	EFX: Fury	1	0:37	Minnesota , United States
Win	1–0	Stan Strong	KO (punches)	UCS: Throwdown at the T-Bar	2	0:13	Ellsworth, Minnesota , United States
