Driver	Constructor	Laps	Time/Retired	Grid
Rubens Barrichello	Ferrari	60	1:35:07.426	4
Michael Schumacher	Ferrari	60	+0.294	3
Kimi Räikkönen	McLaren - Mercedes	60	+46.435	6
Ralf Schumacher	Williams - BMW	60	+1:06.963	2
Jenson Button	Renault	60	+1:16.944	8
Felipe Massa	Sauber - Petronas	59	+1 Lap	11
Nick Heidfeld	Sauber - Petronas	59	+1 Lap	9
Jarno Trulli	Renault	59	+1 Lap	7
Olivier Panis	BAR - Honda	59	+1 Lap	12
Enrique Bernoldi	Arrows - Cosworth	59	+1 Lap	21
Pedro de la Rosa	Jaguar - Cosworth	59	+1 Lap	16
Jacques Villeneuve	BAR - Honda	59	+1 Lap	19
Heinz-Harald Frentzen	Arrows - Cosworth	59	+1 Lap	15
Allan McNish	Toyota	59	+1 Lap	13
Mark Webber	Minardi - Asiatech	58	+2 Laps	20
Takuma Sato	Jordan - Honda	58	+2 Laps	14
Mika Salo	Toyota	51	Gearbox	10
Alex Yoong	Minardi - Asiatech	48	Hydraulics	22
Eddie Irvine	Jaguar - Cosworth	41	Hydraulics	17
Juan Pablo Montoya	Williams - BMW	27	Collision	1
David Coulthard	McLaren - Mercedes	27	Collision	5
Giancarlo Fisichella	Jordan - Honda	26	Collision damage	18
