Locale	Skip	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot Pct.
Saskatchewan	Amber Holland	9	2	87	59	43	47	9	9	81
Canada	Jennifer Jones	8	3	87	54	50	37	9	16	84
Ontario	Rachel Homan	8	3	77	51	52	36	9	18	80
Nova Scotia	Heather Smith-Dacey	7	4	77	69	46	46	9	15	76
British Columbia	Kelly Scott	7	4	64	61	51	39	13	17	76
Prince Edward Island	Suzanne Birt	6	5	69	66	45	40	18	14	77
Alberta	Shannon Kleibrink	6	5	76	66	49	49	8	12	80
Quebec	Marie-France Larouche	4	7	73	78	48	49	7	8	77
Manitoba	Cathy Overton-Clapham	4	7	69	76	48	55	5	11	72
Northwest Territories Yukon	Kerry Galusha	3	8	48	86	36	51	11	5	70
New Brunswick	Andrea Kelly	3	8	58	76	42	49	10	9	75
