Date	Visitor	Score	Home	Leading scorer	Attendance	Record
2 December 2007	Pacers	101–95	Clippers	Jamaal Tinsley (29)	13,741	9–9
4 December 2007	Suns	121–117	Pacers	Jermaine O'Neal (30)	11,435	9–10
7 December 2007	Pacers	115–109	Magic	Danny Granger (27)	17,519	10–10
11 December 2007	Pacers	105–118	Cavaliers	Mike Dunleavy (23)	20,010	10–11
12 December 2007	Bulls	102–117	Pacers	Kareem Rush (22)	10,381	11–11
14 December 2007	Raptors	104–93	Pacers	Mike Dunleavy (23)	10,437	11–12
15 December 2007	Pacers	106–103	Heat	Jamaal Tinsley (26)	19,600	12–12
17 December 2007	Pacers	119–92	Knicks	Mike Dunleavy (36)	17,932	13–12
19 December 2007	Sixers	85–102	Pacers	Marquis Daniels (26)	10,265	14–12
21 December 2007	Pacers	118–131	Timberwolves	Mike Dunleavy (30)	15,379	14–13
22 December 2007	Wizards	85–93	Pacers	Danny Granger (25)	11,583	15–13
26 December 2007	Pacers	95–107	Hawks	Troy Murphy (19)	16,070	15–14
28 December 2007	Pacers	101–114	Pistons	Jermaine O'Neal (25)	22,076	15–15
29 December 2007	Pistons	98–92	Pacers	Jermaine O'Neal (20)	14,960	15–16
31 December 2007	Pacers	103–107	Bobcats	Jermaine O'Neal (20)	12,223	15–17
