Place	Player	Country	Score	To par
1	Tiger Woods	United States	70-66-68=204	–12
2	Phil Mickelson	United States	67-69-69=205	–11
T3	Mark Calcavecchia	United States	72-66-68=206	–10
T3	Chris DiMarco	United States	65-69-72=206	–10
T5	Ángel Cabrera	Argentina	66-71-70=207	–9
T5	David Duval	United States	71-66-70=207	–9
T5	Ernie Els	South Africa	71-68-68=207	–9
T8	Rocco Mediate	United States	72-70-66=208	–8
T8	Kirk Triplett	United States	68-70=70=208	–8
T10	Brad Faxon	United States	73-68-68=209	–7
T10	Lee Janzen	United States	67-70-72=209	–7
T10	José María Olazábal	Spain	70-68-71=209	–7
T10	Steve Stricker	United States	66-71-72=209	–7
